区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
15歳以上人口,12251,12158,93,0.8,6000,5962,38,0.6,6250,6197,53,0.9
〔就業状態〕／労働力人口,8133,7908,225,2.8,4542,4466,76,1.7,3591,3442,149,4.3
〔就業状態〕／労働力人口／就業者数,7922,7682,240,3.1,4418,4332,86,2,3504,3349,155,4.6
〔就業状態〕／労働力人口／就業者数／自営業主数,584,552,32,5.8,405,384,21,5.5,180,168,12,7.1
〔就業状態〕／労働力人口／就業者数／家族従業者数,91,89,2,2.2,16,17,-1,-5.9,75,72,3,4.2
〔就業状態〕／労働力人口／就業者数／雇用者数,7180,6997,183,2.6,3959,3909,50,1.3,3221,3088,133,4.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4292,4169,123,3,2772,2720,52,1.9,1521,1450,71,4.9
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2386,2281,105,4.6,814,770,44,5.7,1572,1511,61,4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1622,1497,125,8.4,462,412,50,12.1,1160,1084,76,7
〔就業状態〕／労働力人口／完全失業者数,211,226,-15,-6.6,123,134,-11,-8.2,87,92,-5,-5.4
〔就業状態〕／非労働力人口,4110,4244,-134,-3.2,1456,1494,-38,-2.5,2654,2750,-96,-3.5
〔就業者の活動状態別内訳〕／就業者数（再掲）,7922,7682,240,3.1,4418,4332,86,2,3504,3349,155,4.6
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数,7678,7467,211,2.8,4337,4261,76,1.8,3341,3206,135,4.2
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／主に仕事,6497,6400,97,1.5,4107,4074,33,0.8,2390,2326,64,2.8
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,288,244,44,18,147,118,29,24.6,140,126,14,11.1
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,893,824,69,8.4,82,70,12,17.1,811,754,57,7.6
