年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成27年平均,2015,,501,714,677,369,1236,259,259,420,520,276,371,736,582
実数／男女計／平成28年平均,2016,,446,731,693,356,1216,308,253,473,532,277,378,766,604
実数／男女計／平成29年平均,2017,,434,716,724,367,1272,327,257,515,515,271,372,803,606
実数／男女計／平成27年10～12月平均,2015,10～12,465,736,638,395,1304,256,266,410,518,288,349,753,569
実数／男女計／平成28年１～３月平均,2016,01～03,437,709,653,381,1239,278,249,432,544,271,382,703,646
実数／男女計／平成28年４～６月平均,2016,04～06,443,766,715,317,1185,312,221,486,484,284,393,819,563
実数／男女計／平成28年７～９月平均,2016,07～09,474,755,710,353,1164,321,257,510,525,249,365,778,642
実数／男女計／平成28年10～12月平均,2016,10～12,428,695,695,374,1275,322,286,464,574,301,371,763,566
実数／男女計／平成29年１～３月平均,2017,01～03,421,699,690,377,1258,281,261,484,517,268,391,779,653
実数／男女計／平成29年４～６月平均,2017,04～06,430,756,772,354,1234,335,234,567,502,272,388,795,550
実数／男女計／平成29年７～９月平均,2017,07～09,467,718,727,367,1311,367,276,513,508,257,330,785,618
実数／男女計／平成29年10～12月平均,2017,10～12,419,690,708,368,1283,326,259,495,531,285,379,855,604
実数／男女計／平成30年１～３月平均,2018,01～03,475,749,746,339,1315,301,238,526,555,269,384,777,682
実数／男／平成27年平均,2015,,421,494,485,301,649,121,149,270,229,124,168,189,337
実数／男／平成28年平均,2016,,377,498,492,284,631,161,152,295,246,124,173,209,344
実数／男／平成29年平均,2017,,359,500,513,290,638,160,154,315,239,116,155,230,348
実数／男／平成27年10～12月平均,2015,10～12,389,507,455,322,677,108,150,267,236,144,162,207,336
実数／男／平成28年１～３月平均,2016,01～03,373,465,463,300,654,139,153,256,274,119,174,208,376
実数／男／平成28年４～６月平均,2016,04～06,375,553,503,244,621,165,137,293,230,136,178,224,318
実数／男／平成28年７～９月平均,2016,07～09,401,518,519,286,600,158,145,331,226,103,160,193,368
実数／男／平成28年10～12月平均,2016,10～12,358,456,483,306,647,181,175,300,256,137,178,210,315
実数／男／平成29年１～３月平均,2017,01～03,351,477,468,310,637,130,156,293,235,124,181,243,379
実数／男／平成29年４～６月平均,2017,04～06,358,539,559,267,601,170,145,338,238,133,150,241,315
実数／男／平成29年７～９月平均,2017,07～09,390,518,531,289,654,170,161,332,221,95,132,211,352
実数／男／平成29年10～12月平均,2017,10～12,338,467,496,294,659,169,155,298,262,113,159,225,347
実数／男／平成30年１～３月平均,2018,01～03,381,532,528,268,629,130,133,321,253,108,171,223,396
実数／女／平成27年平均,2015,,80,220,192,68,587,139,110,151,290,152,204,547,246
実数／女／平成28年平均,2016,,69,233,201,72,585,147,101,178,286,153,205,557,260
実数／女／平成29年平均,2017,,75,215,211,77,634,168,103,200,276,155,217,573,258
実数／女／平成27年10～12月平均,2015,10～12,76,228,183,73,627,148,117,143,282,145,187,546,233
実数／女／平成28年１～３月平均,2016,01～03,64,244,190,81,585,139,96,175,270,152,208,495,270
