年,西暦(年),男女計／１～29人（千人）,男女計／30～499人（千人）,男女計／500人以上（千人）,男／１～29人（千人）,男／30～499人（千人）,男／500人以上（千人）,女／１～29人（千人）,女／30～499人（千人）,女／500人以上（千人）
実数／平成20年平均,2008,1868,1950,1898,1076,1152,1194,792,798,704
実数／平成21年平均,2009,1778,1885,1936,1026,1073,1215,752,812,721
実数／平成22年平均,2010,1693,1912,1958,974,1083,1195,719,829,764
実数／平成23年平均,2011,1783,1991,2045,1018,1112,1237,765,879,808
実数／平成24年平均,2012,1746,1968,2105,1010,1104,1250,736,863,855
実数／平成25年平均,2013,1717,2001,2167,967,1121,1296,750,881,872
実数／平成26年平均,2014,1726,2022,2296,959,1131,1370,767,891,926
実数／平成27年平均,2015,1717,2062,2379,961,1131,1405,756,931,974
実数／平成28年平均,2016,1704,2108,2474,953,1144,1444,750,964,1030
実数／平成29年平均,2017,1720,2111,2573,949,1139,1498,772,972,1075
実数／平成30年平均,2018,1737,2164,2699,960,1163,1532,777,1001,1167
対前年増減数／平成21年平均,2009,-90,-65,38,-50,-79,21,-40,14,17
対前年増減数／平成22年平均,2010,-85,27,22,-52,10,-20,-33,17,43
対前年増減数／平成23年平均,2011,90,79,87,44,29,42,46,50,44
対前年増減数／平成24年平均,2012,-37,-23,60,-8,-8,13,-29,-16,47
対前年増減数／平成25年平均,2013,-29,33,62,-43,17,46,14,18,17
対前年増減数／平成26年平均,2014,9,21,129,-8,10,74,17,10,54
対前年増減数／平成27年平均,2015,-9,40,83,2,0,35,-11,40,48
対前年増減数／平成28年平均,2016,-13,46,95,-8,13,39,-6,33,56
対前年増減数／平成29年平均,2017,16,3,99,-4,-5,54,22,8,45
対前年増減数／平成30年平均,2018,17,53,126,11,24,34,5,29,92
,,,,,,,,,,
東京の労働力統計データ（平成30年平均）,,,,,,,,,,
第７表　企業の従業者規模別非農林業雇用者数,,,,,,,,,,
