区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12264,12159,105,0.9,6005,5962,43,0.7,6258,6198,60,1
〔就業状態〕／労働力人口,8202,7912,290,3.7,4587,4486,101,2.3,3615,3426,189,5.5
〔就業状態〕／労働力人口／就業者数,7966,7686,280,3.6,4449,4353,96,2.2,3517,3333,184,5.5
〔就業状態〕／労働力人口／就業者数／自営業主数,632,574,58,10.1,448,404,44,10.9,185,170,15,8.8
〔就業状態〕／労働力人口／就業者数／家族従業者数,90,87,3,3.4,9,15,-6,-40,81,72,9,12.5
〔就業状態〕／労働力人口／就業者数／雇用者数,7175,6980,195,2.8,3952,3909,43,1.1,3223,3071,152,4.9
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4322,4184,138,3.3,2767,2714,53,2,1555,1469,86,5.9
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2302,2198,104,4.7,792,746,46,6.2,1511,1453,58,4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1554,1431,123,8.6,439,390,49,12.6,1115,1041,74,7.1
〔就業状態〕／労働力人口／完全失業者数,236,226,10,4.4,138,134,4,3,98,93,5,5.4
〔就業状態〕／非労働力人口,4049,4240,-191,-4.5,1415,1474,-59,-4,2634,2766,-132,-4.8
〔就業者の活動状況別内訳〕／就業者数（再掲）,7966,7686,280,3.6,4449,4353,96,2.2,3517,3333,184,5.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7774,7523,251,3.3,4380,4295,85,2,3394,3227,167,5.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6623,6467,156,2.4,4178,4111,67,1.6,2446,2355,91,3.9
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,241,222,19,8.6,112,115,-3,-2.6,129,107,22,20.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,909,834,75,9,90,69,21,30.4,819,765,54,7.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,193,163,30,18.4,69,57,12,21.1,123,106,17,16
〔就業者の主な産業別内訳〕／建設業,468,430,38,8.8,383,358,25,7,85,72,13,18.1
〔就業者の主な産業別内訳〕／製造業,698,756,-58,-7.7,503,539,-36,-6.7,195,217,-22,-10.1
