番号,所管,施設名,施設種別,指定管理者名,指定期間,総合評価,評価内容
1,医療政策部,東京都リハビリテーション病院,リハビリテーション病院,社団法人東京都医師会（公益社団法人東京都医師会）,平成23年4月～平成28年3月,Ａ,・高度な医療機器を導入し、先進的・専門的なリハビリを行うことで、医療の質の向上に努めている。・地域連携の推進など、地域医療・行政的医療の充実に取り組むとともに、療法士の増員によるリハビリ実施単位数の増加を図っている。
2,医療政策部,東京都立心身障害者口腔保健センター,心身障害者口腔保健センター,社団法人東京都歯科医師会,平成23年4月～平成28年3月,Ａ,・専門スタッフを揃えた質の高いサービスを提供するとともに、教育研修にも力を入れている。・診療体制の充実を図り、患者サービスの向上に努めている。
3,少子社会対策部,東京都石神井学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・高年齢児を多く受け入れ、社会的自立に向けた支援に積極的に取り組んでいる。・事業運営のための委員会に全職員が所属し、職員が主体的に寮運営に関わる機会を設けている。
4,少子社会対策部,東京都小山児童学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・園内LANを活用し、各種記録類の共有化を図っている。・「インシデントレポート」を独自に作成するなど、安全管理の情報を共有できる体制を整えている。
5,少子社会対策部,東京都船形学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・PTA活動や地域行事を通じて、住民との連携を図っている。・小中学校と定期的に連絡会を開いて、子供の状況や課題の共有化を図っている。
6,少子社会対策部,東京都八街学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・第三者委員の名称を親しみやすいものに変更したり、相談カードの書式を見直すなど、子供の要望や相談を把握するための工夫を行っている。･子供と職員とが話し合って寮の生活を組み立てる自主的運営に取り組んでいる。
7,少子社会対策部,東京都勝山学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・利用者調査を活かし、児童の安心・安全の確保できるよう支援に当たっている。・児童の社会性を育むため、地域の人々との交流に積極的に取り組んでいる。
8,少子社会対策部,東京都片瀬学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・自治会が行う防犯パトロールに職員が積極的に協力し、地域との良好な関係を築いている。・学生ボランティアの協力を得て園内学習会を開くなど、熱心な学習支援に取り組んでいる。
9,障害者施策推進部,東京都八王子福祉園,障害者支援施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・地域の障害者施設の協議会に参画し、地域の福祉ニーズの把握に努めている。・利用者の年齢・好み・障害特性等に応じた多様なプログラムを提供することで、日中活動プログラムの活性化に努めている。
10,障害者施策推進部,東京都東村山福祉園,福祉型障害児入所施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・専門の職員を配置し、地域の福祉ニーズに関する情報収集を行っている。・過齢の利用者ごとの「地域他施設移行管理表」を作成し、個別のアセスメントに基づいた移行計画を設定している。
11,障害者施策推進部,東京都七生福祉園,福祉型障害児入所施設障害者支援施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・利用者の意向をサービスに活かすため、満足度調査、意向調査、懇談会などを実施している。・個別支援計画に基づき多用なプログラムを実施することで、個々の特性や年齢等に配慮した自立支援を行っている。
12,障害者施策推進部,東京都千葉福祉園,福祉型障害児入所施設障害者支援施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・多様な訓練の場を整えることで、利用者の自立に向けた地域移行支援に取り組んでいる。・余暇活動やイベントを充実することで、利用者の日々の生活が豊かで楽しいものとなるように努めている。
13,障害者施策推進部,東京都日野療護園,障害者支援施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・介護職員等によるたん吸引等の実施の制度化に伴い、率先して職員を研修に参加させている。・空床型短期入所事業を実施し、指定生活介護事業に通所利用枠を設けるなど、地域に暮らす障害者への支援に取り組んでいる。
14,障害者施策推進部,東京都清瀬喜望園,障害者支援施設,社会福祉法人東京アフターケア協会,平成24年4月～平成27年3月,Ａ,・摂食・嚥下能力や病気など、利用者一人ひとりの状況に合わせて食事を提供している。・園の機能・専門性を活かして、在宅呼吸機能障害者の自主活動に協力・支援を行っている。
15,障害者施策推進部,東京都視覚障害者生活支援センター,指定障害福祉サービス事業所,社会福祉法人日本盲人社会福祉施設協議会,平成24年4月～平成27年3月,Ａ,・面接やアンケートにより、利用者の意向把握とサービス向上に取り組んでいる。・心理担当職員を配置するなど、利用者が職員に気軽に相談できる環境づくりに努めている。
16,障害者施策推進部,東京都大泉障害者支援ホーム,障害者支援施設,社会福祉法人東京援護協会,平成23年4月～平成26年3月,Ａ,・利用者集会を開催し、多くの利用者が意見することのできる機会を確保している。・「東京都食品衛生自主管理認証制度」を継続し、認証を基に食品衛生の講演を行うなど、衛生管理の向上を図っている。
17,障害者施策推進部,東京都練馬障害者支援ホーム,障害者支援施設,社会福祉法人東京援護協会,平成23年4月～平成26年3月,Ａ,・生活介護の活動プログラムを充実し、高次脳機能障害者の自立に向けた支援を実施している。・研修参加などを通じ、職員の支援技術研鑽に努めている。
18,障害者施策推進部,東京都江東通勤寮,指定障害福祉サービス事業所,社会福祉法人東京都知的障害者育成会,平成23年4月～平成26年3月,Ａ,・面接や体験入寮を実施することで、入寮後の利用者と施設間のミスマッチ防止に取り組んでいる。・利用者への支援に当たり、臨床心理士によるカウンセリング内容を活用している。
