平成２９年度指定管理料（福祉保健局）,,
施設名,指定管理者名,指定管理料（決算額）　（円）
東京都リハビリテーション病院,公益社団法人東京都医師会,"3,048,996,712"
東京都立心身障害者口腔保健センター,公益社団法人東京都歯科医師会,"449,629,257"
東京都石神井学園,社会福祉法人東京都社会福祉事業団,"657,689,447"
東京都小山児童学園,社会福祉法人東京都社会福祉事業団,"301,585,762"
東京都船形学園,社会福祉法人東京都社会福祉事業団,"274,081,437"
東京都八街学園,社会福祉法人東京都社会福祉事業団,"296,865,862"
東京都勝山学園,社会福祉法人東京都社会福祉事業団,"285,166,702"
東京都片瀬学園,社会福祉法人東京都社会福祉事業団,"233,164,430"
東京都清瀬喜望園,社会福祉法人東京アフターケア協会,"478,376,554"
東京都八王子福祉園,社会福祉法人東京都社会福祉事業団,"1,490,348,453"
東京都七生福祉園,社会福祉法人東京都社会福祉事業団,"1,493,275,829"
東京都千葉福祉園,社会福祉法人東京都社会福祉事業団,"1,691,187,870"
東京都東村山福祉園,社会福祉法人東京都社会福祉事業団,"1,650,507,262"
東京都立東大和療育センター（分園よつぎ療育園）,社会福祉法人全国重症心身障害児（者）を守る会,"2,937,466,210"
東京都立東部療育センター,社会福祉法人全国重症心身障害児（者）を守る会,"2,778,362,325"
