番号,所管,施設名,施設種別,指定管理者名,指定期間,総合評価,評価内容
1,医療政策部,東京都リハビリテーション病院,リハビリテーション病院,公益社団法人東京都医師会,平成23年4月～平成28年3月,Ａ,・地域医療の充実に向け、地域の医療機関と連携を図りながら、地域におけるリハビリテーションに係る人材育成や維持期・在宅リハビリテーションへの支援、高次脳機能障害のリハビリテーションなどの取組を推進している。・作業療法室の出入口拡張工事を行い、患者の利便性の向上に繋げている。
2,医療政策部,東京都立心身障害者口腔保健センター,心身障害者口腔保健センター,公益社団法人東京都歯科医師会,平成23年4月～平成28年3月,Ａ,・専門スタッフを揃えて、地域の医療機関では困難な全身麻酔など、質の高い医療を提供している。・歯科医療従事者及び一般都民を対象とした教育研修を実施し、障害者歯科医療の理解、かかりつけ歯科医の支援及び医療連携の推進に取り組んでいる。
3,少子社会対策部,東京都石神井学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成27年4月～平成32年3月,Ａ,・重篤な愛着障害等がある児童を対象として、生活支援、医療、教育を一体的に支援する「連携型専門ケア機能モデル事業」を実施している。・対応が難しい高年齢の被虐待児を積極的に受け入れるなど、公的役割を果たしている。
4,少子社会対策部,東京都小山児童学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成27年4月～平成32年3月,Ａ,・高年齢児童の割合が高いことから、退所後の社会人としてのマナーやアフターケアについての説明等が盛り込まれた手帳を退所児童に贈り、児童の自立支援に努めている。・児童へのアンケートを実施し、把握した児童の意向をサービスの向上に繋げている。
5,少子社会対策部,東京都船形学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成27年4月～平成30年3月,Ａ,・児童への満足度調査を実施し、その結果をサービスの向上に繋げている。・地域行事へ積極的に参加するとともに、園施設を開放したり、園の行事に地域住民に参加してもらうなど、地域や学校と日常的に連携し、児童の安全・安心の確保を図っている。
6,少子社会対策部,東京都八街学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成27年4月～平成30年3月,Ａ,・各寮で会議を開催し、児童と職員が話し合いながら生活ルールを決めるなど、児童が主体的に生活出来るよう努めている。・フットサルクラブの創設や、対外試合への出場などにより、児童がスポーツを通じ、連帯感を養い、自立への自信を深められるようにしている。
7,少子社会対策部,東京都勝山学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成27年4月～平成30年3月,Ａ,・児童への満足度調査を実施し、把握した児童の意向をサービスの向上に繋げている。・施設の設備を地域に開放して、地域との交流を図るとともに、地域において児童の虐待についての講演を行うなど、施設の専門性を活かした取組を行っている。
8,少子社会対策部,東京都片瀬学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成27年4月～平成30年3月,Ａ,・児童への満足度調査を実施し、把握した児童の意向をサービスの向上に繋げている。・地域住民を対象とした子育て講座を実施し、ポスター掲示やチラシの配布を行うことで、継続的な参加を呼び掛けているほか、地域主体のイベントに参加・協力するなど、地域との連携強化に努めている。
9,障害者施策推進部,東京都八王子福祉園,障害者支援施設,社会福祉法人東京都社会福祉事業団,平成27年4月～平成30年3月,Ａ,・家族懇談会開催時に、第三者委員が、家族からの意見聴取や個別相談会を開催するなど、利用者の状況に応じたサービスの提供に努めている。・利用者の高齢化や虚弱化に対応し、作業療法士及び理学療法士の助言を採り入れ、生活機能維持の取組を推進している。
10,障害者施策推進部,東京都清瀬喜望園,障害者支援施設,社会福祉法人東京アフターケア協会,平成27年4月～平成30年3月,Ａ,・地域の病院と連携を図り、夜間も当直医、看護師及び介護職員等による緊急対応の体制を確保するなど、利用者の健康管理に万全を期している。・利用者全員と園長による懇談会や給食懇談会等を通じ、利用者の意向を把握し、サービスの向上に向けた改善に努めている。
11,障害者施策推進部,東京都練馬障害者支援ホーム,障害者支援施設,社会福祉法人東京援護協会,平成26年4月～平成29年3月,Ａ,・利用者と職員との懇談会や意見箱の設置等を通じて利用者の意向を把握し、サービスの向上に繋げている。・病院や関係機関等を対象に、高次脳機能障害者を支援する事業所としての特性や役割についての説明会を開催し、理解の促進を図っている。
12,障害者施策推進部,東京都八王子自立ホーム,障害者支援施設,社会福祉法人はばたき,平成27年4月～平成29年3月,Ａ,･利用者の状況を詳細に把握した上で、利用者と共に支援内容を考え、個々に応じたコミュニケーションや多様な情報提供を行い、自立した生活を送れるよう支援を行っている。・障害の重度化及び利用者の高齢化を見据えて、生活を充実させるための医療的ケア体制の維持や、利用者に応じた食事提供による健康維持に取り組んでいる。
13,障害者施策推進部,東京都七生福祉園,福祉型障害児入所施設障害者支援施設,社会福祉法人東京都社会福祉事業団,平成27年4月～平成30年3月,Ａ,・意見箱の設置により、利用者の意向を直接把握し、サービスの向上に繋げている。・児童利用者を対象とした非行防止、対人関係向上に関する講座を開催する等、利用者向けの講座を拡充し、規範意識の醸成や、理解度に合わせた健全育成等に取り組んでいる。
14,障害者施策推進部,東京都千葉福祉園,福祉型障害児入所施設障害者支援施設,社会福祉法人東京都社会福祉事業団,平成27年4月～平成30年3月,Ａ,・職員が、随時又は毎月２回の相談日に利用者からの相談に対応するほか、第三者委員による年４回の相談を行うことにより、把握した利用者の意向をサービスの向上に繋げている。・児童寮独自の夏祭り等の行事に、児童が企画の段階から参加して、その運営に力を発揮するなど、日々の生活環境を整えることにより、児童が卒園後に自立して生活できる素地の醸成に努めている。
15,障害者施策推進部,東京都東村山福祉園,福祉型障害児入所施設,社会福祉法人東京都社会福祉事業団,平成27年4月～平成30年3月,Ａ,・利用者への満足度調査や第三者委員による相談窓口の設置などにより、利用者や家族の意向を日常的に把握し、サービスの向上に繋げている。・給食について、写真を活用した嗜好調査を行うとともに、きめ細かく食物アレルギー調査を実施することにより、サービス及び安全性の向上に努めている。
16,障害者施策推進部,東京都視覚障害者生活支援センター,指定障害福祉サービス事業所,社会福祉法人日本盲人社会福祉施設協議会,平成27年4月～平成29年3月,Ａ,・職員が利用者の自宅を訪問し日常生活動作訓練を行う際、家族に対し、自宅で過ごす利用者への適切なサポートに関する助言や指導を行っている。・視覚障害者支援事業所等と定期的に、事業課題や利用希望者の動向、就労に関する情報交換を行い、利用者サービスの向上に繋げている。
17,障害者施策推進部,東京都江東通勤寮,指定障害福祉サービス事業所,社会福祉法人東京都知的障害者育成会,平成26年4月～平成28年3月,Ａ,・利用者アンケートや自治会の開催、第三者委員による相談等を通じて、利用者の要望などを把握し、サービスの向上に繋げている。・利用者確保のため、特別支援学校、能力開発センターや就労支援センター等を訪問し、通勤寮の機能等の情報提供及びニーズの把握を行い、より多くの利用者の受入に繋げている。
18,障害者施策推進部,東京都豊島通勤寮,指定障害福祉サービス事業所,社会福祉法人東京都知的障害者育成会,平成26年4月～平成28年3月,Ａ,・家庭、職場、学校、役場と利用者との関係を図式化したエコマップの作成に取り組み、利用者と支援員が共通理解を持ち、一人ひとりに合ったサービス提供を推進している。・関係機関からの情報収集等に努めることにより、多くの利用者の地域生活への移行を実現している。
19,障害者施策推進部,東京都立川通勤寮,指定障害福祉サービス事業所,社会福祉法人東京都知的障害者育成会,平成26年4月～平成28年3月,Ａ,・料理教室やボランティア活動などへの参加を通じて、利用者のチャレンジ精神の醸成を図っている。・自治会アンケートや面談等により利用者の意向を把握し、利用者の意思や自主性を尊重したサービスの提供に繋げている。
20,障害者施策推進部,東京都町田通勤寮,指定障害福祉サービス事業所,社会福祉法人つるかわ学園,平成26年4月～平成28年3月,Ａ,・利用者集会やアンケート等を実施し、把握した利用者の意向をサービスの向上に繋げている。・地域の防災訓練への参加や周辺地区での雪かきの実施等、利用者が地域住民の一員としての自覚を持てるよう、活動の機会の提供に努めている。
21,障害者施策推進部,東京都立東大和療育センター（分園よつぎ療育園）,医療型障害児入所施設、療養介護事業所,社会福祉法人全国重症心身障害児（者）を守る会,平成23年4月～平成28年3月,Ａ,・多職種で構成される「摂食嚥下リハビリチーム」を設け、利用者ごとの摂食マニュアルを作成するなど、口腔機能に最適な支援を行っている。・家族会との情報交換を行うとともに、医師会や歯科医師会、地域関係者、児童相談所等で構成される運営協議会を開催し、地域福祉のニーズの把握に努めている。
22,障害者施策推進部,東京都立東部療育センター,医療型障害児入所施設、療養介護事業所,社会福祉法人全国重症心身障害児（者）を守る会,平成27年4月～平成32年3月,Ａ,・気管切開や人工呼吸器利用者の医療事故を防止するため、呼吸ケアチームを立ち上げて職員に情報提供を行うとともに、適切なケアを行うための勉強会を開催し、安全の確保に努めている。・医療的に極めて重い利用者（児）を率先して受け入れ、多職種が連携を図りながら創意工夫を行い、安心安全で優れた療育サービスの提供に努めている。
