番号,所管,施設名,施設種別,所在地,経度,緯度,座標系,指定管理者名,指定期間,"総合
評価",評価内容,,
1,医療政策部,東京都リハビリテーション病院,リハビリテーション病院,墨田区堤通２－１４－１,139.815933,35.735931,JGD2011,"公益社団法人
東京都医師会","平成28年4月
～
平成33年3月",Ａ,"・高次脳機能障害者のリハビリテーションの質の向上に向けた取組や地域の医療機関との連携の推進を積極的に行っている。
・平成28年4月から、患者サービスの一層の向上と診療報酬の確保を図るため、日曜日・祝日もリハビリテーション実施している。
【要改善事項等】
・医療法に基づく検査でエックス線漏えい線量測定の測定場所等について指摘があったが、方法を改め、適切に実施した。",,
2,医療政策部,東京都立心身障害者口腔保健センター,心身障害者口腔保健センター,新宿区神楽河岸１－１,139.743423,35.700947,JGD2011,"公益社団法人
東京都歯科医師会","平成28年4月
～
平成33年3月",Ａ,"・歯科医療従事者及び一般都民を対象とした教育研修にも力を入れており、障害者歯科医療技術者養成、障害者歯科医療理解、かかりつけ歯科医の支援・医療連携の推進に取り組んでいる。
・平成28年度より、地域派遣研修を新たに開始し、障害者施設へ赴き、施設職員、家族に対し障害者の口腔保健の理解を深めるための研修を実施している。",,
3,少子社会対策部,東京都石神井学園,児童養護施設,練馬区石神井台３－３５－２３,139.58876,35.741623,JGD2011,"社会福祉法人
東京都社会福祉事業団","平成27年4月
～
平成32年3月",Ａ,"・積極的に被虐待児童を受け入れる等、公的役割を担う施設としての使命を果たすべく取組を行っている。
・個々の児童の学習能力に応じた学習環境や支援体制の充実が図られている。
【要改善事項等】
・個人情報の誤送付が発生したが、文書送付時の確認体制の構築や研修により再発防止を徹底した。",,
4,少子社会対策部,東京都小山児童学園,児童養護施設,東久留米市野火止２－２２－２６,139.515887,35.764102,JGD2011,"社会福祉法人
東京都社会福祉事業団","平成27年4月
～
平成32年3月",Ａ,"・情緒・行動上の問題を抱える中高生を確実に受け入れるという公的役割を、支援内容と職員の支援技術を高めながら果たしている。
・職員の支援技術向上のために、外部講師による困難事例に基づく演習や園内の事例検討会を開催し、実践的な研修等に取り組んでいる。",,
5,少子社会対策部,東京都船形学園,児童養護施設,千葉県館山市船形１３７７,139.839256,35.030714,JGD2011,"社会福祉法人
東京都社会福祉事業団","平成27年4月
～
平成30年3月",Ａ,"・精神疾患や発達障害など医療的ケアが必要な児童や、保護者との関係づくりが困難な児童を受け入れており、個々の職員の支援スキルの向上と併せ、組織としての支援力向上に取り組んでいる。
・ヒヤリハットの充実が図られ、その分析結果を受けて学園の「死角マップ」を作成し、危険個所点検等に活かしている。",,
6,少子社会対策部,東京都八街学園,児童養護施設,千葉県八街市八街に１５１,140.325201,35.66595,JGD2011,"社会福祉法人
東京都社会福祉事業団","平成27年4月
～
平成30年3月",Ａ,"・ルールや生活日課等について児童と職員が話し合って決定するなど独自性を重視した寮運営を行うことで、利用者主体の支援を行っている。
・地域関係機関とのネットワークに進んで参加するとともに、広場等の開放、地域住民の納涼祭等への参加促進、児童の地域行事への積極的な参加等により地域交流を進めている。",,
7,少子社会対策部,東京都勝山学園,児童養護施設,千葉県安房郡鋸南町下佐久間１４６９,139.841506,35.107351,JGD2011,"社会福祉法人
東京都社会福祉事業団","平成27年4月
～
平成30年3月",Ａ,"・職員が一丸となって学校、関係機関、地域との連携を図り、児童の健全育成への取り組みを進めている。地域のスポーツイベントや祭りへの職員及び児童の参加と協力等、地域と連携する取り組みを進めることで施設への理解が深まり、児童が地域の中で見守られ、健全に成長する環境が醸成されている。
・児童の意向、目標等が実現可能なものとなるよう退所後の自立生活を想定した実践的な支援に取り組んでいる。",,
8,少子社会対策部,東京都片瀬学園,児童養護施設,神奈川県藤沢市片瀬４－９－３８,139.482739,35.315956,JGD2011,"社会福祉法人
東京都社会福祉事業団","平成27年4月
～
平成30年3月",Ａ,"・満足度調査や児童からあがった要望は、実現可能となるよう組織全体で検討し、児童の施設への信頼感につながるように努めている。
・児童の支援に関する事例検討会を開催しており、児童の全体像を把握するとともに、ニーズや課題を抽出して支援方法等を見出している。",,
9,障害者施策推進部,東京都視覚障害者生活支援センター,指定障害福祉サービス事業所,新宿区河田町１０－１０,139.717512,35.698329,JGD2011,"社会福祉法人
日本盲人社会福祉施設
協議会","平成27年4月
～
平成29年3月",Ａ,"・職員が利用者の自宅を訪問し、日常生活訓練を行うなど、利用者の自立生活を想定したサービスの提供を行っている。
・就労移行支援では、オリジナル教材を活かしたパソコンの技術習得の他にも、就職に向けた関係機関との連絡を図るなど、きめ細やかな対応が行われている。また、希望者にはマッサージ業務への就労を支援するプログラムがあり、一般企業へのヘルスキーパーとしての就労も支援している。",,
10,障害者施策推進部,東京都練馬障害者支援ホーム,障害者支援施設,練馬区西大泉５－３６－２,139.565128,35.760131,JGD2011,"社会福祉法人
東京援護協会","平成26年4月
～
平成29年3月",Ａ,"・毎月1回、自立訓練事業の退所者の会「練馬土曜会」を開催し、退所者に対するサポート体制を強化するとともに社会復帰に向けて継続的な支援に取り組んでいる。
・平成28年度から新人教育及び支援・介護スキルの統一化の一環としてプリセプター制度を試験的に導入し、新人育成体制の整備を進めるとともに、プリセプターとなる3～5年目の職員の知識や技術の向上につなげている。",,
