番号,所管,施設名,施設種別,指定管理者名,指定期間,総合評価,評価内容
1,医療政策部,東京都リハビリテーション病院,リハビリテーション病院,公益社団法人東京都医師会,平成23年4月～平成28年3月,Ａ,・地域医療の充実に向け、地域の医療機関と連携を図りながら、地域のリハビリテーションに係る人材育成や高次脳機能障害のリハビリテーションなどの取組を推進している。・退院時に患者アンケートを実施し、把握した患者の要望等を、患者サービスの向上に繋げている。
2,医療政策部,東京都立心身障害者口腔保健センター,心身障害者口腔保健センター,公益社団法人東京都歯科医師会,平成23年4月～平成28年3月,Ａ,・専門スタッフを揃えて、地域の医療機関では困難な全身麻酔など、質の高い医療を提供している。・来院時に患者と家族を対象にアンケート調査を実施し、把握した要望等を、患者サービスの向上に繋げている。
3,少子社会対策部,東京都石神井学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,B,・地域生活を支えるサービスの充実に向け、ショートステイや夜間一時保育を実施している。・利用者の支援に関し事故が発生した。既に再発防止策が講じられているが、今後も職員の育成指導や管理監督職の早期介入など、組織的な対応が求められる。
4,少子社会対策部,東京都小山児童学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・児童へのアンケートを実施し、把握した児童の意向をサービスの向上に繋げている。・児童と地域の住民・学生などとの交流を深めるとともに、児童が多様な社会経験を積めるよう、地域のボランティア活動への積極的な参加を推進している。
5,少子社会対策部,東京都船形学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・児童への満足度調査を実施し、その結果をサービスの向上に繋げている。・地域行事へ積極的に参加するとともに、地域や学校と日常的に連携し、児童への支援の充実に取り組んでいる。
6,少子社会対策部,東京都八街学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・各寮で会議を開催し、把握した児童の意向に基づき、児童の生活の改善に向けた取組を行っている。・児童の自立に向け、中学3年生や高校生を対象に学習会を開催し、自立への意識付けや必要な情報提供を行っている。
7,少子社会対策部,東京都勝山学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・児童への満足度調査を実施し、そこで把握した児童の意向をサービスの向上に繋げている。・児童の退所後の生活を想定し、早い段階から、生活の知識や技術などに関する個々の課題を明確にした上で、児童に対し、食事面や健康面での支援を行っている。
8,少子社会対策部,東京都片瀬学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・児童が、職員とともに調理や野菜作りを行うことで、生活の知識やスキルの習得に取組むとともに、生活の充実に努めている。・高齢者との交流などを通じて、地域とのネットワークを形成し、児童への支援の充実を図っている。
9,障害者施策推進部,東京都八王子福祉園,障害者支援施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・利用者と家族又は後見人から要望等を聞き取り、その内容を踏まえて個別支援計画を策定する等、利用者の状況に応じたサービスを提供している。・被虐待の障害者の緊急受入や地域の福祉・医療機関への研修講師の派遣を行う等、積極的に地域支援に取組んでいる。
10,障害者施策推進部,東京都日野療護園,障害者支援施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・生活の質の向上と健康維持の両面でバランスのとれた、利用者本位の個別支援計画を作成している。・日中活動の充実に向け、ボランティアを積極的に活用し、利用者の意欲や園の活気の向上に努めている。
11,障害者施策推進部,東京都清瀬喜望園,障害者支援施設,社会福祉法人東京アフターケア協会,平成24年4月～平成27年3月,Ａ,・地域の病院と連携を図り、夜間も当直医、看護師及び介護職員等による緊急対応を実施するなど、利用者の健康管理に万全を期している。・利用者全員と園長による懇談会を通じ、利用者の意向を把握し、利用者サービスの向上に向けた改善が図られている。
