"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","０日[人]","１～３日分[人]","４～６日分[人]","７日分以上[人]","無回答[人]"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","全体",,"559","81","318","94","52","14"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","性・年代別","男性（計）","231","29","128","48","24","2"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","性・年代別","男性 18～29歳","13","2","5","5","1","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","性・年代別","男性 30～39歳","38","8","16","7","7","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","性・年代別","男性 40～49歳","50","10","31","6","3","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","性・年代別","男性 50～59歳","47","4","31","9","3","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","性・年代別","男性 60～69歳","42","3","21","10","7","1"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","性・年代別","男性 70歳以上","40","2","24","10","3","1"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","性・年代別","男性 無回答","1","0","0","1","0","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","性・年代別","女性（計）","314","51","187","46","28","2"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","性・年代別","女性 18～29歳","26","7","12","3","4","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","性・年代別","女性 30～39歳","49","11","30","5","3","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","性・年代別","女性 40～49歳","78","11","49","11","6","1"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","性・年代別","女性 50～59歳","63","9","40","9","5","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","性・年代別","女性 60～69歳","56","7","35","10","3","1"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","性・年代別","女性 70歳以上","42","6","21","8","7","0"
"202203","防災用品等の備蓄","Q25. 災害時に在宅避難等をする際、最低７日間以上の備蓄が必要です。ご自宅で 何日分の備蓄をしていますか（１人分の備蓄目安：食料３食×７日、水３ℓ×７日、携帯トイレ５回分×７日等）。","性・年代別","女性 無回答","0","0","0","0","0","0"
