委託期間,Ｎｏ．,委託警察署,受託法人,所在地,緯度,経度,座標系,連絡先
令和6年４月１日から令和９年３月３１日まで,1,麹町・神田,テイケイ株式会社,新宿区歌舞伎町１丁目１番１６号,35.6931319,139.7043853,JGD2011,050-3142-2701
令和6年４月１日から令和９年３月３１日まで,2,丸の内・中央,シンテイ警備株式会社,中央区新富１丁目８番８号,35.6725308,139.7744333,JGD2011,03-3551-4616
令和6年４月１日から令和９年３月３１日まで,3,築地・月島,シンテイ警備株式会社,中央区新富１丁目８番８号,35.6725308,139.7744333,JGD2011,03-3551-4616
令和6年４月１日から令和９年３月３１日まで,4,三田・愛宕,シンテイ警備株式会社,中央区新富１丁目８番８号,35.6725308,139.7744333,JGD2011,03-3551-4616
令和6年４月１日から令和９年３月３１日まで,5,万世橋・久松,株式会社コアズ,千代田区神田猿楽町２丁目７番８号,35.7003853,139.7573364,JGD2011,03-3291-4700
令和6年４月１日から令和９年３月３１日まで,6,東京湾岸・深川,株式会社コアズ,千代田区神田猿楽町２丁目７番８号,35.7003853,139.7573364,JGD2011,03-3291-4700
令和6年４月１日から令和９年３月３１日まで,7,高輪・麻布,シンテイ警備株式会社,中央区新富１丁目８番８号,35.6725308,139.7744333,JGD2011,03-3551-4616
令和6年４月１日から令和９年３月３１日まで,8,赤坂・原宿,シンテイ警備株式会社,中央区新富１丁目８番８号,35.6725308,139.7744333,JGD2011,03-3551-4616
令和6年４月１日から令和９年３月３１日まで,9,品川・大井,テイケイ株式会社,新宿区歌舞伎町１丁目１番１６号,35.6931319,139.7043853,JGD2011,050-3142-2701
令和6年４月１日から令和９年３月３１日まで,10,大崎・荏原,テイケイ株式会社,新宿区歌舞伎町１丁目１番１６号,35.6931319,139.7043853,JGD2011,050-3142-2701
令和6年４月１日から令和９年３月３１日まで,11,渋谷・代々木,株式会社ジェイ・エス・エス,新宿区左門町６番地４,35.6868636,139.720545,JGD2011,03-5919-0821
令和6年４月１日から令和９年３月３１日まで,12,牛込・四谷,株式会社ジェイ・エス・エス,新宿区左門町６番地４,35.6868636,139.720545,JGD2011,03-5919-0821
令和6年４月１日から令和９年３月３１日まで,13,新宿・戸塚,株式会社アネシス,千代田区神田小川町３丁目３番地,35.694991,139.761714,JGD2011,03-3292-0181
令和6年４月１日から令和９年３月３１日まで,14,富坂・大塚,シンテイ警備株式会社,中央区新富１丁目８番８号,35.6725308,139.7744333,JGD2011,03-3551-4616
令和6年４月１日から令和９年３月３１日まで,15,駒込・巣鴨,シンテイ警備株式会社,中央区新富１丁目８番８号,35.6725308,139.7744333,JGD2011,03-3551-4616
令和6年４月１日から令和９年３月３１日まで,16,池袋・目白,株式会社アネシス,千代田区神田小川町３丁目３番地,35.694991,139.761714,JGD2011,03-3292-0181
令和6年４月１日から令和９年３月３１日まで,17,本富士・上野・下谷,株式会社コアズ,千代田区神田猿楽町２丁目７番８号,35.7003853,139.7573364,JGD2011,03-3291-4700
令和6年４月１日から令和９年３月３１日まで,18,浅草・蔵前,株式会社コアズ,千代田区神田猿楽町２丁目７番８号,35.7003853,139.7573364,JGD2011,03-3291-4700
令和6年４月１日から令和９年３月３１日まで,19,本所・向島,株式会社アネシス,千代田区神田小川町３丁目３番地,35.694991,139.761714,JGD2011,03-3292-0181
令和6年４月１日から令和９年３月３１日まで,20,城東・葛西,株式会社コアズ,千代田区神田猿楽町２丁目７番８号,35.7003853,139.7573364,JGD2011,03-3291-4700
