施設分類,合計,構成比 (%),食肉製品小計,ハム,ソーセージ,ベーコン,その他の食肉製品,その他の鳥獣肉類の調製品,乳小計,牛乳類,その他の乳類,アイスクリーム類,乳製品小計,"ナチ
ュラルチー
ズ",発酵乳,その他の乳主原を含む乳製品）,食鳥卵調製品小計,鶏卵加工品,"その他の食鳥卵の加工
品",その他の動物性食品
合計,128,100,43,5,13,3,22,15,15,14,1,14,33,4,11,18,6,5,1,2
飲食店営業小計,37,28.9,15,1,3,0,11,12,1,1,0,4,3,1,0,2,1,1,0,1
飲食店営業／一般（和食店）,5,3.9,0,,,,,1,0,,,3,1,,,1,0,,,
飲食店営業／一般（外国料理店）,5,3.9,3,1,,,2,1,0,,,,1,1,,,0,,,
飲食店営業／一般（中華料理店）,2,1.6,2,,1,,1,,0,,,,0,,,,0,,,1
"飲食店営業／一般（食堂）
",1,0.8,0,,,,,1,0,,,,0,,,,0,,,
飲食店営業／一般（焼肉店）,2,1.6,0,,,,,1,0,,,,0,,,,0,,,
飲食店営業／一般（居酒屋）,7,5.5,3,,,,3,4,0,,,,0,,,1,0,1,,
飲食店営業／一般（その他）,9,7,5,,2,,3,,1,1,,1,1,,,,1,,,
飲食店営業／弁当屋,1,0.8,0,,,,,1,0,,,,0,,,,0,,,
飲食店営業／そうざい店,5,3.9,2,,,,2,3,0,,,,0,,,,0,,,
喫茶店営業,3,2.3,0,,,,,,3,3,,,0,,,,0,,,
菓子製造業,4,3.1,0,,,,,,0,,,2,2,,,2,0,,,
アイスクリーム類製造業,2,1.6,0,,,,,,0,,,2,0,,,,0,,,
乳処理業,1,0.8,0,,,,,,1,1,,,0,,,,0,,,
乳製品製造業,6,4.7,0,,,,,,0,,,,6,1,3,2,0,,,
食肉処理業,1,0.8,1,,,1,,,0,,,,0,,,,0,1,,
食肉製品製造業,5,3.9,4,,4,,,1,0,,,,0,,,,0,,,
そうざい製造業,1,0.8,0,,,,,,0,,,,0,,,,1,,,
食品衛生法において許可を要するその他の製造業,2,1.6,0,,,,,,0,,,,2,1,1,,0,,,
乳類販売業,10,7.8,0,,,,,,7,7,,,3,,2,1,0,,,
食肉販売業,10,7.8,8,1,3,1,3,1,0,,,,0,,,,0,2,,1
食料品等販売業,27,21.1,7,,2,1,4,1,1,1,,3,13,,4,9,2,,,
上記以外の販売業,1,0.8,0,,,,,,0,,,1,0,,,,0,,,
臨時営業,1,0.8,0,,,,,,0,,,1,0,,,,0,,,
家庭,2,1.6,1,1,,,,,0,,,,1,,,1,0,,,
その他,5,3.9,3,,,,3,,1,,1,1,0,,,,0,,,
不明,10,7.8,4,2,1,,1,,1,1,,,3,1,1,1,2,1,1,
