食品分類,合計,構成比(%),騒音小計,騒音施設・設備,騒音その他,ゴミ処理,ペット類小計,ペット類客のペット持ち込み,ペット類店内でのペット飼育,ペット類その他,路上等施設外での営業,許可・届出に関する苦情,その他
合計,703,100.0,52,22,30,87,41,9,22,10,105,151,267
水産食品,19,2.7,0,,,1,0,,,,3,7,8
水産加工食品,8,1.1,1,1,,,0,,,,1,1,5
畜産食品,22,3.1,0,,,2,0,,,,,3,17
畜産加工品,16,2.3,0,,,,0,,,,1,4,11
農産食品,18,2.6,1,1,,,1,,1,,,2,14
農産加工食品,23,3.3,0,,,,1,1,,,2,8,12
菓子類,52,7.4,0,,,1,2,,2,,4,10,35
飲料,23,3.3,0,,,,0,,,,1,7,15
油脂,5,0.7,0,,,2,0,,,,1,,2
調理済み食品,96,13.7,2,1,1,,0,,,,24,30,40
そう菜半製品,2,0.3,0,,,,0,,,,,1,1
その他の食品,17,2.4,1,,1,1,0,,,,,2,13
食品添加物,1,0.1,0,,,,0,,,,,,1
器具容器包装,2,0.3,0,,,,0,,,,,,2
食品類以外,350,49.8,45,18,27,76,34,8,17,9,66,67,62
不明,49,7.0,2,1,1,4,3,,2,1,2,9,29
