食品分類,合計,構成比 (%),魚介乾製品,魚介類塩蔵品小計,塩辛,その他の魚介類塩蔵品,魚肉ねり製品小計,かまぼこ,魚肉ハム・ソーセージ,揚げ製品,その他の魚介ねり製品,海草類小計,海藻類,海藻類加工品,魚卵類,その他の魚介類加工品小計,"魚介類水煮及びボイ
ル",魚介類油煮,魚介類漬物,"その他の魚介類加工
品"
合計,112,100,16,7,1,6,14,3,4,4,3,22,9,13,6,47,15,1,5,26
異物混入,33,29.5,3,1,,1,3,,1,1,1,9,2,7,3,14,5,1,1,7
腐敗・変敗,4,3.6,2,0,,,1,,,1,,0,,,,1,,,1,
異味・異臭,3,2.7,1,0,,,1,,1,,,0,,,,1,,,,1
変色,13,11.6,1,2,,2,2,1,,1,,3,2,1,1,4,1,,,3
変質,2,1.8,,0,,,0,,,,,1,1,,,1,1,,,
食品・器具の取扱い,1,0.9,,0,,,0,,,,,1,1,,,0,,,,
従事者,8,7.1,,0,,,1,1,,,,3,1,2,,4,1,,,3
表示,13,11.6,2,1,,1,1,,,,1,1,,1,,8,1,,1,6
有症,26,23.2,5,2,1,1,3,,1,1,1,3,1,2,2,11,5,,2,4
施設・設備,1,0.9,1,0,,,0,,,,,0,,,,0,,,,
その他,8,7.1,1,1,,1,2,1,1,,,1,1,,,3,1,,,2
