要因分類,合計,構成比 (%),穀類加工品小計,米飯、おかゆ,もち,粉類,その他の穀類加工品,豆類の加工品小計,豆腐,豆腐加工品,納豆,あん類,その他の豆類の加工品,ナッツ及びナッツの加工品,種実類及び種実類加工品,コーヒー豆・ココア・茶小計,コーヒー豆,茶葉,でん粉,野菜加工品小計,乾燥野菜,塩蔵野菜,野菜の水煮,カット野菜,その他の野菜加工品,果実加工品小計,カットフルーツ,ジャム・マーマレード,乾燥果実,その他の果実加工品,きのこ加工品,つけ物小計,浅漬,その他,めん類小計,乾麺,即席麺,生麺,ゆで麺、むし麺,その他の農産物の加工品小計,こんにゃく,その他の農産物の加工品
合計,262,100,29,12,4,5,8,35,11,3,10,1,10,8,5,10,4,6,1,52,5,1,7,18,21,30,1,6,13,10,4,48,5,43,29,7,5,9,8,11,4,7
異物混入,102,38.9,9,6,1,,2,15,2,2,7,,4,5,1,3,1,2,1,27,2,1,4,9,11,8,,1,2,5,2,14,3,11,14,3,5,2,4,3,1,2
腐敗・変敗,5,1.9,1,,,,1,2,2,,,,,,,0,,,,0,,,,,,1,,,1,,,0,,,0,,,,,1,,1
カビの発生,16,6.1,2,,1,,1,1,,,,1,,1,,0,,,,1,1,,,,,4,,1,3,,,3,,3,4,1,,1,2,0,,
異味・異臭,23,8.8,2,2,,,,2,1,,,,1,,,0,,,,6,,,2,1,3,2,,1,1,,,9,,9,1,1,,,,1,1,
変色,5,1.9,1,,1,,,1,,,,,1,,1,0,,,,2,,,,,2,0,,,,,,0,,,0,,,,,0,,
変質,3,1.1,1,1,,,,0,,,,,,,,0,,,,0,,,,,,2,,,1,1,,0,,,0,,,,,0,,
食品・器具の取扱い,20,7.6,1,,,1,,3,2,,1,,,1,0,1,,1,,5,,,,5,,4,,1,1,2,,3,1,2,0,,,,,2,1,1
従事者,6,2.3,1,,1,,,2,,,,,2,,,1,1,,,1,,,,1,,0,,,,,,1,,1,0,,,,,0,,
表示,26,9.9,4,1,,,3,3,1,,1,,1,,1,2,1,1,,4,1,,,,3,2,,1,,1,,5,,5,4,2,,1,1,1,,1
有症,25,9.5,3,1,,2,,4,2,,1,,1,1,,0,,,,3,1,,,,2,4,1,,3,,,6,,6,2,,,1,1,2,,2
施設・設備,8,3.1,1,,,1,,0,,,,,,,,2,1,1,,1,,,,1,,1,,1,,,,0,,,3,,,3,,0,,
その他,23,8.8,3,1,,1,1,2,1,1,,,,,2,1,,1,,2,,,1,1,,2,,,1,1,2,7,1,6,1,,,1,,1,1,
