施設分類1,施設分類2,合計,構成比(%),不衛生小計,不衛生手洗い不備,不衛生身だしなみ,不衛生その他,従業者の衛生知識の欠如,健康管理,その他
合計,,228,100.0,104,30,18,56,53,26,45
飲食店営業,小計,175,76.8,84,24,15,45,44,16,31
飲食店営業,一般（和食店）,17,7.5,11,2,1,8,3,,3
飲食店営業,一般（外国料理店）,6,2.6,4,3,,1,1,,1
飲食店営業,一般（中華料理店）,16,7.0,11,4,,7,4,,1
飲食店営業,一般（食堂）,12,5.3,7,2,1,4,2,,3
飲食店営業,一般（焼肉店）,4,1.8,4,,,4,,,
飲食店営業,一般（居酒屋）,23,10.1,17,5,5,7,3,1,2
飲食店営業,一般（その他）,42,18.4,15,3,4,8,14,3,10
飲食店営業,旅館・ホテル,2,0.9,1,,,1,1,,
飲食店営業,すし屋,11,4.8,3,2,1,,4,1,3
飲食店営業,そば屋,7,3.1,1,,,1,5,1,
飲食店営業,仕出し屋,5,2.2,3,1,1,1,1,,1
飲食店営業,弁当屋,6,2.6,3,1,1,1,1,,2
飲食店営業,そうざい店,4,1.8,2,1,,1,,,2
飲食店営業,給食,19,8.3,1,,1,,5,10,3
飲食店営業,その他,1,0.4,1,,,1,,,
菓子製造業,,15,6.6,5,,2,3,2,5,3
食肉処理業,,1,0.4,0,,,,1,,
豆腐製造業,,2,0.9,2,2,,,,,
そうざい製造業,,2,0.9,1,,,1,,,1
条例で定める許可を要する製造業,,1,0.4,0,,,,,1,
食肉販売業,,7,3.1,5,2,1,2,2,,
魚介類販売業,,3,1.3,0,,,,1,,2
食料品等販売業,,11,4.8,5,1,,4,2,,4
上記以外の販売業,,3,1.3,1,1,,,,,2
臨時営業,,1,0.4,0,,,,1,,
臨時出店者,,1,0.4,0,,,,,1,
不明,,6,2.6,1,,,1,,3,2
