施設分類,合計,構成比 (%),食肉小計,牛肉（臓を含む）,豚肉（臓を含む）,馬肉（臓を含む）,鶏肉（臓を含む）,その他の食鳥肉,その他の食肉,食鳥卵小計,鶏卵
合計,243,100,229,68,63,5,76,4,13,14,14
飲食店営業小計,126,51.9,123,44,22,5,45,4,3,3,3
飲食店営業／一般（和食店）,9,3.7,9,5,,,4,,,0,
飲食店営業／一般（外国料理店）,3,1.2,3,1,,,2,,,0,
飲食店営業／一般（中華料理店）,4,1.6,3,1,2,,,,,1,1
飲食店営業／一般（食堂）,4,1.6,3,3,,,,,,1,1
飲食店営業／一般（焼肉店）,32,13.2,32,23,4,3,1,,1,0,
飲食店営業／一般（居酒屋）,50,20.6,50,7,14,2,23,4,,0,1
飲食店営業／一般（その他）,16,6.6,16,3,1,,10,,2,0,
飲食店営業／旅館・ホテル,1,0.4,1,1,,,,,,0,
飲食店営業／そば屋,2,0.8,1,,,,1,,,1,
飲食店営業／そうざい店,3,1.2,3,,1,,2,,,0,
飲食店営業／給食,1,0.4,1,,,,1,,,0,
飲食店営業／その他,1,0.4,1,,,,1,,,0,
食肉処理業,11,4.5,11,3,4,,3,,1,0,
食肉製品製造業,1,0.4,1,1,,,,,,0,
食肉販売業,71,29.2,71,15,35,,16,,5,0,4
魚介類販売業,1,0.4,1,,,,1,,,0,
食料品等販売業,5,2.1,1,1,,,,,,4,
上記以外の販売業,3,1.2,0,,,,,,,3,3
臨時営業,2,0.8,2,,,,2,,,0,
臨時出店者,1,0.4,1,,,,1,,,0,
家庭,1,0.4,1,,,,,,1,0,
その他,4,1.6,3,1,,,1,,1,1,1
不明,17,7,14,3,2,,7,,2,3,3
