要因分類,合計,構成比 (%),煮物・鍋物,焼物,揚げ物,酢の物,和え物,蒸し物,炒め物,サラダ,めん物,飯物,汁物,すし,その他,複合調理食品,弁当,調理パン等
合計,2035,100,93,265,150,5,6,13,40,80,200,149,43,154,100,433,222,82
異物混入,574,28.2,29,40,39,1,1,3,15,54,71,50,26,24,24,71,88,38
腐敗・変敗,25,1.2,5,,2,,,,2,1,3,1,1,2,1,4,2,1
カビの発生,14,0.7,2,1,,,,,,1,3,2,,2,1,,,2
異味・異臭,107,5.3,10,11,17,2,1,2,3,2,11,10,3,10,4,10,8,3
変色,14,0.7,,2,3,,,1,,1,2,1,1,2,,1,,
変質,4,0.2,,,1,2,,,,,,1,1,,1,,,
食品・器具の取扱い,208,10.2,11,31,26,,1,1,6,6,21,15,5,12,12,30,20,11
従事者,55,2.7,3,9,3,,,,1,2,6,5,,4,3,15,2,2
表示,64,3.1,2,5,12,,,1,1,1,1,7,2,4,3,8,15,2
有症,790,38.8,26,136,40,,2,4,9,11,67,49,4,85,37,252,50,16
施設・設備,84,4.1,2,21,2,,1,1,1,1,13,1,,2,6,24,12,7
その他,96,4.7,3,9,5,,,,2,,2,7,,7,8,18,25,
