施設分類,合計,構成比 (%),穀類加工品小計,米飯、おかゆ,もち,粉類,その他の穀類加工品,豆類の加工品小計,豆腐,豆腐加工品,納豆,あん類,その他の豆類の加工品,ナッツ及びナッツの加工品,種実類及び種実類加工品,コーヒー豆・ココア・茶小計,コーヒー豆,茶葉,でん粉,野菜加工品小計,乾燥野菜,塩蔵野菜,野菜の水煮,カット野菜,その他の野菜加工品,果実加工品小計,カットフルーツ,ジャム・マーマレード,乾燥果実,その他の果実加工品,きのこ加工品,つけ物小計,浅漬,その他,めん類小計,乾麺,即席麺,生麺,ゆで麺、むし麺,その他の農産物の加工品小計,こんにゃく,その他の農産物の加工品
合計,244,100,28,12,4,5,7,31,10,3,9,1,8,8,5,8,3,5,1,50,5,1,7,16,21,26,1,5,11,9,4,45,5,40,29,7,5,9,8,9,3,6
飲食店営業／小計,53,21.7,12,10,1,1,0,2,1,0,1,0,0,0,0,1,1,0,0,15,1,0,2,7,5,2,0,1,0,1,2,11,2,9,7,1,0,4,2,1,0,1
飲食店営業／一般（和食店）,2,0.8,0,,,,,1,1,,,,,,,0,,,,1,,,,,1,0,,,,,,0,,,0,,,,,0,,
飲食店営業／一般（外国料理店）,2,0.8,1,1,,,,0,,,,,,,,0,,,,1,,,,,1,0,,,,,,0,,,0,,,,,0,,
飲食店営業／一般,6,2.5,2,1,,1,,0,,,,,,,,0,,,,0,,,,,,0,,,,,,1,1,,3,,,3,,0,,
飲食店営業／一般（食堂）,9,3.7,1,1,,,,0,,,,,,,,0,,,,2,,,,2,,2,,1,,1,,2,,2,2,,,,2,0,,
飲食店営業／一般（焼肉店）,1,0.4,0,,,,,0,,,,,,,,0,,,,0,,,,,,0,,,,,,1,,1,0,,,,,0,,
飲食店営業／一般（居酒屋）,3,1.2,1,1,,,,1,,,1,,,,,0,1,,,1,,,,,1,0,,,,,,0,,,0,,,,,0,,
飲食店営業／一般（その他）,11,4.5,2,2,,,,0,,,,,,,,1,,,,3,,,,2,1,0,,,,,,5,1,4,0,,,,,0,,
飲食店営業／そば屋,3,1.2,0,,,,,0,,,,,,,,0,,,,2,,,,2,,0,,,,,,0,,,1,,,1,,0,,
飲食店営業／仕出し屋,4,1.6,1,1,,,,0,,,,,,,,0,,,,3,1,,1,1,,0,,,,,,0,,,0,,,,,0,,
飲食店営業／弁当屋,2,0.8,1,1,,,,0,,,,,,,,0,,,,0,,,,,,0,,,,,,1,,1,0,,,,,0,,
飲食店営業／そうざい店,3,1.2,1,1,,,,0,,,,,,,,0,,,,1,,,,,1,0,,,,,,0,,,0,,,,,1,,1
飲食店営業／給食,6,2.5,1,,1,,,0,,,,,,,,0,,,,1,,,1,,,0,,,,,2,1,,1,1,1,,,,0,,
飲食店営業／その他,1,0.4,1,1,,,,0,,,,,,,,0,,,,0,,,,,,0,,,,,,0,,,0,,,,,0,,
喫茶店営業,1,0.4,0,,,,,0,,,,,,,1,0,,,,0,,,,,,0,,,,,,0,,,0,,,,,0,,
菓子製造業,6,2.5,1,,1,,,0,,,,,,1,,1,,1,,0,,,,,,3,,1,2,,,0,,,0,,,,,0,,
あん類製造業,1,0.4,0,,,,,1,,,,1,,,,0,,,,0,,,,,,0,,,,,,0,,,0,,,,,0,,
食肉製品製造業,1,0.4,0,,,,,0,,,,,,,,0,,,,0,,,,,,0,,,,,,1,,1,0,,,,,0,,
豆腐製造業,9,3.7,0,,,,,8,2,2,,,4,,,0,,,,0,,,,,,0,,,,,,0,,,0,,,,,1,1,
めん類製造,11,4.5,0,,,,,0,,,,,,,,0,,,,0,,,,,,0,,,,,,0,,,11,3,3,1,4,0,,
そうざい製造,2,0.8,0,,,,,0,,,,,,,,0,,,,2,,,,1,1,0,,,,,,0,,,0,,,,,0,,
食品衛生法において許可を要するその他の製造業,9,3.7,0,,,,,6,,,6,,,,,0,,,,1,,,,,1,1,,1,,,,1,,1,0,,,,,0,,
条例で定める許可を要する製造業,9,3.7,1,,,,1,0,,,,,,,1,0,,,,0,,,,,,0,,,,,,5,1,4,0,,,,,2,1,1
許可を要しない製造業,5,2,0,,,,,0,,,,,,,,0,,,,3,1,,,,2,1,,,1,,,1,,1,0,,,,,0,,
乳類販売業,1,0.4,0,,,,,0,,,,,,,,0,,,,0,,,,,,1,,,1,,,0,,,0,,,,,0,,
食肉販売業,1,0.4,0,,,,,0,,,,,,,,0,,,,0,,,,,,0,,,,,,0,,,0,,,,,1,,1
魚介類販売,2,0.8,0,,,,,0,,,,,,,,0,,,,2,,,,2,,0,,,,,,0,,,0,,,,,0,,
食料品等販売業,63,25.8,6,1,,1,4,7,4,,2,,1,3,1,0,,,,14,2,,3,3,6,5,,,2,3,,19,2,17,6,,1,3,2,2,1,1
上記以外の販売業,26,10.7,0,,,,,1,1,,,,,3,1,2,,2,,8,1,,2,3,2,5,,1,3,1,1,2,,2,2,2,,,,1,,1
臨時出店者,1,0.4,1,,1,,,0,,,,,,,,0,,,,0,,,,,,0,,,,,,0,,,0,,,,,0,,
家庭,8,3.3,2,,,2,,2,,1,,,1,,1,0,,,,0,,,,,,1,,,,1,,1,,1,1,1,,,,0,,
その他,20,8.2,3,1,1,,1,2,,,,,2,,,3,1,2,,4,,1,,,3,3,1,,,2,,3,,3,1,,,1,,1,,1
不明,15,6.1,2,,,1,1,2,2,,,,,1,,1,1,,1,1,,,,,1,4,,1,2,1,1,1,,1,1,,1,,,0,,
