施設分類,合計,構成比 (%),魚介乾製品,魚介類塩蔵品小計,塩辛,その他の魚介類塩蔵品,魚肉ねり製品小計,かまぼこ,魚肉ハム・ソーセージ,揚げ製品,その他の魚介ねり製品,海草類小計,海藻類,海藻類加工品,魚卵類,その他の魚介類加工品小計,魚介類水煮及びボイル,魚介類油煮,魚介類漬物,"その他の魚介類加工
品"
合計,106,100,16,6,1,5,14,3,4,4,3,19,8,11,6,45,14,1,5,25
飲食店営業小計,18,17,3,0,0,0,1,0,0,1,0,1,0,1,0,13,3,0,3,7
飲食店営業／一般（和食店）,1,0.9,,0,,,0,,,,,0,,1,,1,,,1,
飲食店営業／一般（中華料理店）,2,1.9,1,0,,,0,,,,,0,,,,1,,,,1
飲食店営業／一般（居酒屋）,2,1.9,,0,,,0,,,,,0,,,,2,,,2,
飲食店営業／一般（その他）,3,2.8,,0,,,0,,,,,1,,,,2,1,,,1
飲食店営業／すし屋,2,1.9,,0,,,0,,,,,0,,,,2,1,,,1
飲食店営業／弁当屋,2,1.9,1,0,,,0,,,,,0,,,,1,,,,1
飲食店営業／そうざい店,5,4.7,1,0,,,1,,,1,,0,,,,3,1,,,2
飲食店営業／給食,1,0.9,,0,,,0,,,,,0,,,,1,,,,1
魚肉ねり製品製造業,4,3.8,,0,,,4,,3,,1,0,,,,0,,,,
そうざい製造業,4,3.8,,0,,,2,1,,1,,0,,,,2,1,,,1
食品衛生法において許可を要するその他の製造業,2,1.9,,0,,,0,,,,,0,,,,2,1,,,1
条例で定める許可を要する製造業,2,1.9,,0,,,0,,,,,2,,2,,0,,,,
許可を要しない製造業,4,3.8,1,0,,,0,,,,,3,3,,,0,,,,
魚介類販売業,27,25.5,6,3,,3,2,1,,,1,1,,1,2,13,6,,2,5
食料品等販売業,31,29.2,5,1,,1,5,1,1,2,1,9,4,5,2,9,2,,,7
上記以外の販売業,3,2.8,,0,,,0,,,,,0,,,,3,1,1,,1
その他,5,4.7,1,1,,1,0,,,,,1,,1,,2,,,,2
不明,6,5.7,,1,1,,0,,,,,2,1,1,2,1,,,,1
