施設分類1,施設分類2,合計,構成比(%),有症,食物アレルギー
合計,,1478,100.0,1453,25
飲食店営業,小計,996,67.4,980,16
飲食店営業,一般（和食店）,84,5.7,84,
飲食店営業,一般（外国料理店）,75,5.1,72,3
飲食店営業,一般（中華料理店）,60,4.1,57,3
飲食店営業,一般（食堂）,60,4.1,59,1
飲食店営業,一般（焼肉店）,51,3.5,51,
飲食店営業,一般（居酒屋）,229,15.5,227,2
飲食店営業,一般（その他）,177,12.0,172,5
飲食店営業,旅館・ホテル,14,0.9,14,
飲食店営業,すし屋,73,4.9,73,
飲食店営業,そば屋,24,1.6,23,1
飲食店営業,仕出し屋,11,0.7,11,
飲食店営業,弁当屋,35,2.4,35,
飲食店営業,そうざい店,42,2.8,41,1
飲食店営業,給食,47,3.2,47,
飲食店営業,その他,14,0.9,14,
喫茶店営業,,1,0.1,1,
菓子製造業,,22,1.5,19,3
乳処理業,,1,0.1,1,
食肉製品製造業,,1,0.1,,1
魚肉ねり製品製造業,,2,0.1,1,1
そうざい製造業,,5,0.3,5,
食品衛生法において許可を要するその他の製造業,,1,0.1,1,
条例で定める許可を要する製造業,,2,0.1,2,
許可を要しない製造業,,3,0.2,3,
乳類販売業,,1,0.1,1,
食肉販売業,,13,0.9,13,
魚介類販売業,,68,4.6,68,
食料品等販売業,,71,4.8,70,1
上記以外の販売業,,19,1.3,19,
臨時営業,,1,0.1,1,
臨時出店者,,5,0.3,5,
家庭,,20,1.4,18,2
その他,,21,1.4,21,
不明,,225,15.2,224,1
