施設分類1,施設分類2,平成23年度,平成24年度,平成25年度,平成26年度,平成26年度再掲,平成27年度,平成27年度再掲
合計,,4478,4544,4851,5265,,5138,
飲食店営業,,2556,2710,2784,3123,,3091,
喫茶店営業,,4,5,6,21,,14,
製造業,菓子製造業,176,159,197,245,,241,
製造業,あん類製造業,2,-,1,-,,2,
製造業,アイスクリーム製造業,2,9,7,3,,3,
製造業,乳処理業,1,1,2,3,,2,
製造業,乳製品製造業,5,4,10,10,,7,
製造業,食肉処理業,11,9,18,14,,20,
製造業,食肉製品製造業,4,7,6,9,,9,
製造業,魚肉ねり製品製造業,-,3,1,1,,4,
製造業,氷雪製造業,-,-,-,-,,-,
製造業,みそ製造業,-,-,4,-,,-,
製造業,醤油製造業,-,-,1,-,,-,
製造業,ソース製造業,-,1,-,-,,-,
製造業,酒類製造業,1,3,1,3,,5,
製造業,清涼飲料水製造業,9,13,5,9,,12,
製造業,豆腐製造業,12,16,13,20,,11,
製造業,めん類製造業,7,4,7,12,,14,
製造業,そうざい製造業,23,17,35,24,,56,
製造業,かん詰又はびん詰食品製造業,1,3,8,-,,-,
製造業,食品衛生法において許可を要するその他の製造業,8,7,12,12,,19,
製造業,条例で定める許可を要する製造業,19,13,22,30,,22,
製造業,許可を要しない製造業,14,12,10,29,,19,
販売業,デパート・スーパー・コンビニエンスストア,432,424,499,,974,,822
販売業,行商・自動車での販売業,189,110,54,-,,-,
販売業,行商,-,-,-,20,,25,
販売業,自動車,-,-,-,,60,,36
販売業,自動販売機,10,11,12,,13,,7
販売業,上記以外の販売業,499,537,544,1009,,934,
臨時営業・臨時出店者,,-,-,-,30,,32,
本人又は家族,,77,46,59,64,,56,
その他,,152,226,248,208,,187,
不明,,264,194,285,366,,353,
