施設分類1,施設分類2,合計,構成比(%),温度管理不備,加熱調理不備,期限切れ,不衛生な取扱い,その他
合計,,587,100.0,49,86,102,255,95
飲食店営業,小計,358,61.0,23,79,17,190,49
飲食店営業,一般（和食店）,23,3.9,6,5,,11,1
飲食店営業,一般（外国料理店）,17,2.9,1,6,1,8,1
飲食店営業,一般（中華料理店）,41,7.0,3,8,1,25,4
飲食店営業,一般（食堂）,23,3.9,,11,1,11,
飲食店営業,一般（焼肉店）,12,2.0,2,4,,1,5
飲食店営業,一般（居酒屋）,47,8.0,3,13,1,25,5
飲食店営業,一般（その他）,84,14.3,2,18,4,48,12
飲食店営業,旅館・ホテル,5,0.9,1,,1,2,1
飲食店営業,すし屋,10,1.7,1,,,8,1
飲食店営業,そば屋,13,2.2,,,,12,1
飲食店営業,仕出し屋,4,0.7,,,,3,1
飲食店営業,弁当屋,24,4.1,2,4,4,11,3
飲食店営業,そうざい店,29,4.9,1,7,1,15,5
飲食店営業,給食,21,3.6,1,1,3,7,9
飲食店営業,その他,5,0.9,,2,,3,
菓子製造業,,25,4.3,2,4,5,11,3
アイスクリーム類製造業,,1,0.2,1,,,,
食肉処理業,,2,0.3,1,,,1,
食肉製品製造業,,1,0.2,,,,1,
清涼飲料水製造業,,1,0.2,,,,,1
豆腐製造業,,1,0.2,,,,1,
そうざい製造業,,3,0.5,,,,1,2
条例で定める許可を要する製造業,,1,0.2,,,,,1
許可を要しない製造業,,2,0.3,,,,2,
乳類販売業,,6,1.0,3,,3,,
食肉販売業,,14,2.4,,,,9,5
魚介類販売業,,19,3.2,3,,6,6,4
食料品等販売業,,86,14.7,12,,55,10,9
行商（弁当類販売業）,,2,0.3,,,,,2
上記以外の販売業,,21,3.6,1,,11,6,3
臨時営業,,4,0.7,,1,,3,
臨時出店者,,7,1.2,,2,,3,2
家庭,,2,0.3,,,,,2
その他,,19,3.2,2,,3,6,8
不明,,12,2.0,1,,2,5,4
