施設分類1,施設分類2,合計,構成比(%),排気・排煙,排水,トイレの不備等,害虫・害獣,不衛生,その他
合計,,639,100.0,111,42,27,152,184,123
飲食店営業,小計,516,80.8,103,35,25,124,145,84
飲食店営業,一般（和食店）,31,4.9,4,5,1,8,7,6
飲食店営業,一般（外国料理店）,47,7.4,16,2,1,8,11,9
飲食店営業,一般（中華料理店）,69,10.8,16,4,3,15,23,8
飲食店営業,一般（食堂）,25,3.9,2,2,3,9,5,4
飲食店営業,一般（焼肉店）,18,2.8,8,,1,4,4,1
飲食店営業,一般（居酒屋）,100,15.6,26,10,6,25,23,10
飲食店営業,一般（その他）,110,17.2,15,8,8,26,35,18
飲食店営業,旅館・ホテル,3,0.5,,1,1,,,1
飲食店営業,すし屋,18,2.8,,1,,8,5,4
飲食店営業,そば屋,20,3.1,4,1,,6,7,2
飲食店営業,仕出し屋,12,1.9,1,,,3,6,2
飲食店営業,弁当屋,16,2.5,3,,,5,3,5
飲食店営業,そうざい店,26,4.1,6,1,1,3,10,5
飲食店営業,給食,10,1.6,,,,2,4,4
飲食店営業,その他,11,1.7,2,,,2,2,5
喫茶店営業,,3,0.5,,,,,,3
菓子製造業,,21,3.3,,1,,6,6,8
あん類製造業,,1,0.2,,,,1,,
乳処理業,,1,0.2,,,,,1,
食肉処理業,,8,1.3,1,2,,2,3,
豆腐製造業,,1,0.2,,,,1,,
めん類製造業,,1,0.2,,,,,1,
そうざい製造業,,7,1.1,1,,,1,5,
食品衛生法において許可を要するその他の製造業,,1,0.2,1,,,,,
条例で定める許可を要する製造業,,1,0.2,1,,,,,
許可を要しない製造業,,1,0.2,,,,,1,
乳類販売業,,1,0.2,1,,,,,
食肉販売業,,3,0.5,,1,,,2,
魚介類販売業,,11,1.7,1,1,,3,4,2
食料品等販売業,,26,4.1,,,1,11,7,7
行商（弁当類販売業）,,4,0.6,,,,,1,3
上記以外の販売業,,6,0.9,1,,,1,2,2
臨時出店者,,1,0.2,,,,,1,
家庭,,1,0.2,,,,,,1
その他,,19,3.0,,1,1,1,4,12
不明,,5,0.8,1,1,,1,1,1
