要因分類,合計,構成比 (%),パン類小計,菓子パン,その他のパン,生菓子小計,洋生菓子,和生菓子,その他の生菓子,その他の菓子類小計,焼菓子,油菓子,キャンディーチューインガム,チョコレート,中華まんじゅう等,その他の菓子類,氷菓,製菓材料
合計,445,100,123,50,73,137,88,40,9,176,70,21,10,8,7,60,5,4
異物混入,158,35.5,64,31,33,40,20,15,5,51,17,11,5,4,3,11,2,1
腐敗・変敗,4,0.9,0,,,1,1,,,3,,1,,,,2,,
カビの発生,22,4.9,6,,6,6,3,3,,10,5,1,,1,,3,,
異味・異臭,18,4,3,1,2,8,2,6,,7,4,,,,,3,,
変色,5,1.1,0,,,4,3,1,,1,,,,,,1,,
変質,7,1.6,1,,1,3,2,1,,3,,,,1,,2,,2
食品・器具の取扱い,53,11.9,10,3,7,18,13,5,,22,7,2,1,,1,11,1,
従事者,10,2.2,2,,2,7,6,1,,1,1,,,,,,,
表示,59,13.3,13,5,8,12,8,3,1,34,20,,,,,14,,
有症,44,9.9,9,4,5,17,13,3,1,17,8,1,,,3,5,1,
施設・設備,13,2.9,3,1,2,7,6,,1,3,1,1,,,,1,,
その他,52,11.7,12,5,7,14,11,2,1,24,7,4,4,2,,7,1,1
