施設分類,合計,構成比 (%),清涼飲料水小計,炭酸飲料,ミネラルウォーター類,果汁飲料,粉末清涼飲料,その他の清涼飲料,水,酒精飲料,その他の飲料
合計,179,100,99,12,13,16,1,57,21,28,31
飲食店営業小計,72,40.2,32,2,0,7,0,23,15,13,12
飲食店営業／一般（和食店）,3,1.7,2,,,1,,1,,1,
飲食店営業／一般（外国料理店）,8,4.5,5,,,1,,4,1,1,1
飲食店営業／一般（中華料理店）,8,4.5,2,,,,,2,4,2,
飲食店営業／一般（食堂）,2,1.1,0,,,,,,1,,1
飲食店営業／一般（焼肉店）,2,1.1,0,,,,,,1,1,
飲食店営業／一般（居酒屋）,6,3.4,0,,,,,,1,5,7
飲食店営業／一般（その他）,29,16.2,19,2,,3,,14,1,2,
飲食店営業／旅館・ホテル,1,0.6,1,,,1,,,,,
飲食店営業／すし屋,1,0.6,0,,,,,,1,,
飲食店営業／そば屋,4,2.2,0,,,,,,4,,
飲食店営業／弁当屋,1,0.6,1,,,,,1,1,1,
飲食店営業／そうざい店,3,1.7,0,,,,,,,,2
飲食店営業／その他,4,2.2,2,,,1,,1,,,1
喫茶店営業,2,1.1,2,1,,,,1,,4,
乳製品製造業,1,0.6,1,,,,,1,,,
清涼飲料水製造業,11,6.1,11,1,2,1,,7,,,
酒類製造業,4,2.2,0,,,,,,,,
豆腐製造業,1,0.6,1,,,,,1,,,
食料品等販売業,18,10.1,11,2,1,1,,7,3,4,3
上記以外の販売業,25,14,16,3,3,4,,6,,2,4
臨時営業,2,1.1,0,,,,,,,1,1
臨時出店者,1,0.6,1,,1,,,,,,
家庭,3,1.7,2,,,1,,1,,,1
その他,24,13.4,10,1,2,1,1,5,2,2,10
不明,15,8.4,12,2,4,1,,5,1,2,
