施設分類1,施設分類2,合計,構成比(%),異味,異臭
合計,,268,100.0,125,143
飲食店営業,小計,126,47.0,61,65
飲食店営業,一般（和食店）,14,5.2,7,7
飲食店営業,一般（外国料理店）,11,4.1,8,3
飲食店営業,一般（中華料理店）,13,4.9,7,6
飲食店営業,一般（食堂）,8,3.0,7,1
飲食店営業,一般（焼肉店）,4,1.5,2,2
飲食店営業,一般（居酒屋）,10,3.7,4,6
飲食店営業,一般（その他）,19,7.1,9,10
飲食店営業,すし屋,4,1.5,1,3
飲食店営業,そば屋,4,1.5,2,2
飲食店営業,仕出し屋,4,1.5,2,2
飲食店営業,弁当屋,12,4.5,2,10
飲食店営業,そうざい店,15,5.6,7,8
飲食店営業,給食,2,0.7,,2
飲食店営業,その他,6,2.2,3,3
菓子製造業,,9,3.4,5,4
アイスクリーム類製造業,,1,0.4,1,
乳製品製造業,,1,0.4,,1
食肉処理業,,1,0.4,,1
豆腐製造業,,1,0.4,1,
そうざい製造業,,6,2.2,4,2
許可を要しない製造業,,2,0.7,,2
乳類販売業,,3,1.1,1,2
食肉販売業,,14,5.2,3,11
魚介類販売業,,20,7.5,5,15
食料品等販売業,,48,17.9,25,23
上記以外の販売業,,21,7.8,13,8
臨時出店者,,1,0.4,1,
家庭,,1,0.4,,1
その他,,11,4.1,4,7
不明,,2,0.7,1,1
