要因分類,合計,構成比 (%),食肉製品小計,ハム,ソーセージ,ベーコン,その他の食肉製品,その他の鳥獣肉類の調製品,乳小計,牛乳類,その他の乳類,アイスクリーム類,乳製品小計,"ナチ
ュラルチー
ズ",発酵乳,その他の乳主原を含む乳製品）,食鳥卵調製品小計,鶏卵加工品,"その他の食鳥卵の加工
品",その他の動物性食品
合計,141,100,49,5,16,3,25,16,13,12,1,19,36,4,12,20,6,5,1,2
異物混入,43,30.5,16,2,9,,5,2,1,1,,7,16,3,6,7,0,,,1
腐敗・変敗,2,1.4,0,,,,,2,0,,,,0,,,,0,,,
カビの発生,3,2.1,0,,,,,,0,,,,2,,,2,1,1,,
異味・異臭,9,6.4,1,,1,,,,3,3,,2,3,,1,2,0,,,
変色,2,1.4,1,,,,1,,1,1,,,0,,,,0,,,
変質,3,2.1,1,,,,1,,2,2,,,0,,,,0,,,
食品・器具の取扱い,25,17.7,9,,2,,7,4,2,2,,,8,1,3,4,2,2,,
従事者,4,2.8,2,,2,,,,0,,,2,0,,,,0,,,
表示,5,3.5,3,,,2,1,,0,,,,1,,,1,1,1,,
有症,24,17,8,1,1,,6,4,2,2,,3,4,,2,2,2,1,1,1
施設・設備,5,3.5,1,,,1,,2,0,,,2,0,,,,0,,,
その他,16,11.3,7,2,1,,4,2,2,1,1,3,2,,,2,0,,,
