施設分類,合計,構成比 (%),生鮮野菜,生鮮果実,穀類小計,米,その他の穀類,豆類,きのこ類,その他の農産物
合計,137,100,52,48,25,24,1,1,8,3
飲食店営業小計,11,8,5,5,1,1,0,0,0,0
飲食店営業／一般（外国料理店）,1,0.7,,1,0,1,,,,
飲食店営業／一般（中華料理店）,2,1.5,1,1,0,,,,,
飲食店営業／一般（焼肉店）,1,0.7,,1,0,,,,,
飲食店営業／一般（居酒屋）,3,2.2,2,,1,,,,,
飲食店営業／一般（その他）,2,1.5,1,1,0,,,,,
飲食店営業／そうざい店,1,0.7,1,,0,,,,,
飲食店営業／給食,1,0.7,,1,0,,,,,
そうざい店製造業,2,1.5,2,,0,,,,,
許可を委要しない製造業,1,0.7,,,0,,,,,1
食肉販売業,1,0.7,1,,0,,,,,
食料品等販売業,52,38,18,20,12,12,,,2,
上記以外の販売業,42,30.7,18,18,3,3,,1,2,
臨時出店者,4,2.9,3,1,0,,,,,
家庭,6,4.4,,,5,4,1,,1,
その他,10,7.3,3,2,1,1,,,3,1
不明,8,5.8,2,2,3,3,,,,1
