"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","選択肢A","選択肢B","選択肢C","選択肢D","選択肢E","選択肢F"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","全体",,"558","253","261","192","120","126","4"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","性・年代別","男性（計）","231","121","119","82","53","63","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","性・年代別","男性 18～29歳","13","9","9","6","4","6","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","性・年代別","男性 30～39歳","38","13","16","7","7","11","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","性・年代別","男性 40～49歳","50","30","33","23","13","14","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","性・年代別","男性 50～59歳","47","28","26","18","12","16","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","性・年代別","男性 60～69歳","42","19","19","13","8","6","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","性・年代別","男性 70歳以上","40","21","16","15","8","9","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","性・年代別","男性 無回答","1","1","0","0","1","1","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","性・年代別","女性（計）","313","130","139","108","67","63","4"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","性・年代別","女性 18～29歳","26","10","10","8","8","7","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","性・年代別","女性 30～39歳","49","14","21","14","8","6","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","性・年代別","女性 40～49歳","78","36","40","28","22","18","1"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","性・年代別","女性 50～59歳","62","32","27","20","12","15","2"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","性・年代別","女性 60～69歳","56","23","24","25","11","10","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","性・年代別","女性 70歳以上","42","15","17","13","6","7","1"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","性・年代別","女性 無回答","0","0","0","0","0","0","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","性・年代別","無回答","14","2","3","2","0","0","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","職業別","自営業主・家族従業","86","33","39","27","19","17","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","職業別","会社員・団体職員・公務員","243","127","128","86","61","58","1"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","職業別","アルバイト・パートタイマー","35","12","12","12","6","8","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","職業別","家事専業","55","21","24","20","8","12","1"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","職業別","学生","13","7","7","5","5","5","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","職業別","無職","81","35","30","27","15","16","1"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","職業別","その他","31","16","19","14","6","10","1"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","職業別","無回答","14","2","2","1","0","0","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","居住地区別","芝地区","86","31","34","26","13","18","1"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","居住地区別","麻布地区","87","44","47","32","19","20","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","居住地区別","赤坂地区","81","37","42","29","18","16","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","居住地区別","高輪地区","146","65","70","53","31","34","3"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","居住地区別","芝浦港南地区","139","71","65","51","35","34","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","居住地区別","無回答","19","5","3","1","4","4","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","住居形態別","持家（一戸建）","64","33","30","17","15","16","1"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","住居形態別","持家（マンション）","267","123","134","101","59","67","3"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","住居形態別","借家（一戸建）","9","4","5","4","3","2","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","住居形態別","民間の賃貸マンション・アパート","151","71","71","50","35","35","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","住居形態別","都営住宅・区営住宅・区立住宅","26","10","8","12","4","3","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","4","6","3","3","1","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","住居形態別","社宅・公務員宿舎","10","5","4","4","0","2","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","住居形態別","寮・寄宿舎・住み込み・間借り","4","0","0","0","0","0","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","住居形態別","その他","5","2","2","1","1","0","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","住居形態別","無回答","11","1","1","0","0","0","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","定住意向別","ずっと住み続けていたい","279","137","132","104","67","70","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","定住意向別","当分は住んでいたい","203","87","99","71","41","40","1"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","19","18","9","6","10","1"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","1","2","1","0","0","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","定住意向別","近いうちに区外に転居する予定である","13","5","5","3","2","2","0"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","定住意向別","わからない","10","4","4","4","4","3","1"
"202203","地球温暖化対策","Q19-1. 問19で１ また は２を選択した場合は、気候変動の影響への適応の対策で知っているものについて、ア～ カ のうち当てはまる記号を 内に記入してください（複数記入可）。","定住意向別","無回答","3","0","1","0","0","1","1"

"第33回港区民世論調査クロス集計表・地球温暖化対策Q19-1","Ver202203",,,,,,,,,,
