NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
,清瀬小学校,キヨセショウガッコウ,東京都清瀬市中里5-741,,,,,042-493-4311,,132217,東京都,清瀬市,,,,,,,,,1,,,,
,芝山小学校,シバヤマショウガッコウ,東京都清瀬市元町2-16-8,,,,,042-493-4312,,132217,東京都,清瀬市,,,,,,,,,1,,,,
,第三小学校,ダイサンショウガッコウ,東京都清瀬市竹丘1-15-4,,,,,042-493-4313,,132217,東京都,清瀬市,,,,,,,,,1,,,,
,第四小学校,ダイヨンショウガッコウ,東京都清瀬市中里2-1471,,,,,042-493-4314,,132217,東京都,清瀬市,,,,,,,,,1,,,,
,清明小学校,セイメイショウガッコウ,東京都清瀬市旭が丘2-8-1,,,,,042-493-4315,,132217,東京都,清瀬市,,,,,,,,,1,,,,
,第六小学校,ダイロクショウガッコウ,東京都清瀬市梅園2-9-45,,,,,042-493-4316,,132217,東京都,清瀬市,,,,,,,,,1,,,,
,第七小学校,ダイナナショウガッコウ,東京都清瀬市松山3-1-92,,,,,042-493-4317,,132217,東京都,清瀬市,,,,,,,,,1,,,,
,第八小学校,ダイハチショウガッコウ,東京都清瀬市中清戸4-1070,,,,,042-493-4318,,132217,東京都,清瀬市,,,,,,,,,1,,,,
,第十小学校,ダイジュウショウガッコウ,東京都清瀬市中清戸1-454-14,,,,,042-493-4310,,132217,東京都,清瀬市,,,,,,,,,1,,,,
,清瀬中学校,キヨセチュウガッコウ,東京都清瀬市中里5-624,,,,,042-493-6311,,132217,東京都,清瀬市,,,,,,,,,1,,,,
,第二中学校,ダイニチュウガッコウ,東京都清瀬市梅園2-9-15,,,,,042-493-6312,,132217,東京都,清瀬市,,,,,,,,,1,,,,
,第三中学校,ダイサンチュウガッコウ,東京都清瀬市旭が丘1-262,,,,,042-493-6313,,132217,東京都,清瀬市,,,,,,,,,1,,,,
,第四中学校,ダイヨンチュウガッコウ,東京都清瀬市野塩3-2-3,,,,,042-493-6314,,132217,東京都,清瀬市,,,,,,,,,1,,,,
,第五中学校,ダイゴチュウガッコウ,東京都清瀬市中清戸3-258-1,,,,,042-493-6315,,132217,東京都,清瀬市,,,,,,,,,1,,,,
,中央公園,チュウオウコウエン,東京都清瀬市梅園1-613,,,,,,,132217,東京都,清瀬市,,,,,,,,,,,,,
,竹丘公園,タケオカコウエン,東京都清瀬市竹丘3-691-6,,,,,,,132217,東京都,清瀬市,,,,,,,,,,,,,
,金山緑地公園,カナヤマリョクチコウエン,東京都清瀬市中里4-650,,,,,,,132217,東京都,清瀬市,,,,,,,,,,,,,
,神山公園,コウヤマコウエン,東京都清瀬市中清戸3-235,,,,,,,132217,東京都,清瀬市,,,,,,,,,,,,,
,下宿運動公園,シタジュクウンドウコウエン,東京都清瀬市下宿2-524-1,,,,,,,132217,東京都,清瀬市,,,,,,,,,,,,,
,下宿第二運動公園,シタジュクダイニウンドウコウエン,東京都清瀬市下宿2-579-4,,,,,,,132217,東京都,清瀬市,,,,,,,,,,,,,
,清瀬内山運動公園,キヨセウチヤマウンドウコウエン,東京都清瀬市下宿3-1375,,,,,,,132217,東京都,清瀬市,,,,,,,,,,,,,
,コミュニティプラザひまわり,コミュニティプラザヒマワリ,東京都清瀬市下清戸1-212-4,,,,,042-495-5100,,132217,東京都,清瀬市,,,,,,,,,1,,,,
,東京都立清瀬高等学校グラウンド,トウキョウトリツキヨセコウトウガッコウグウンド,東京都清瀬市松山3-1-56,,,,,,,132217,東京都,清瀬市,,,,,,,,,,,,,
,都職員共済組合清瀬グランド,トショクインキョウサイクミアイキヨセグランド,東京都清瀬市竹丘3-10-5,,,,,,,132217,東京都,清瀬市,,,,,,,,,,,,,
,東星学園体育館前校庭・幼稚園園庭,トウセイガクエンタイイクカンマエコウテイ・ヨウチエンエンテイ,東京都清瀬市梅園3-14-47,,,,,,,132217,東京都,清瀬市,,,,,,,,,,,,,
,日本社会事業大学駐車場,ニホンシャカイジギョウダイガクチュウチュウシャジョウ,東京都清瀬市竹丘3-1-30,,,,,,,132217,東京都,清瀬市,,,,,,,,,,,,,
,明治薬科大学清瀬キャンパス正門アクセスモール,メイジヤッカダイガクキヨセキャンパスセイモンアクセスモール,東京都清瀬市野塩2-522-1,,,,,,,132217,東京都,清瀬市,,,,,,,,,,,,,
,国立看護大学校内グラウンド,コクリツカンゴダイガッコウグランド,東京都清瀬市梅園1-2-1,,,,,,,132217,東京都,清瀬市,,,,,,,,,,,,,
,(工事期間中受け入れ不可）都立清瀬特別支援学校,トリツキヨセトクベツシエンガッコウ,東京都清瀬市松山3-1-97,,,,,,,132217,東京都,清瀬市,,,,,,,,,,,,,工事期間令和5年8月１日～令和9年8月31日
