"年月[西暦]","調査項目","設問","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","本人について","Q7. あなたは身体障害者手帳をお持ちですか。身体障害者の等級についておたずねします。（○は１つ）","身体障害者手帳１級","24","9.8","11.7"
"202003","本人について","Q7. あなたは身体障害者手帳をお持ちですか。身体障害者の等級についておたずねします。（○は１つ）","身体障害者手帳２級","17","6.9","8.3"
"202003","本人について","Q7. あなたは身体障害者手帳をお持ちですか。身体障害者の等級についておたずねします。（○は１つ）","身体障害者手帳３級","7","2.9","3.4"
"202003","本人について","Q7. あなたは身体障害者手帳をお持ちですか。身体障害者の等級についておたずねします。（○は１つ）","身体障害者手帳４級","8","3.3","3.9"
"202003","本人について","Q7. あなたは身体障害者手帳をお持ちですか。身体障害者の等級についておたずねします。（○は１つ）","身体障害者手帳５級","3","1.2","1.5"
"202003","本人について","Q7. あなたは身体障害者手帳をお持ちですか。身体障害者の等級についておたずねします。（○は１つ）","身体障害者手帳６級","4","1.6","2.0"
"202003","本人について","Q7. あなたは身体障害者手帳をお持ちですか。身体障害者の等級についておたずねします。（○は１つ）","持っていない","142","58.0","69.3"
"202003","本人について","Q7. あなたは身体障害者手帳をお持ちですか。身体障害者の等級についておたずねします。（○は１つ）","無回答","40","16.3",

"港区保健福祉基礎調査（知的障害者）・単純集計表・本人についてQ7","Ver202003",,,,,
