"年度","区分","視覚障害 18歳未満[人]","視覚障害 18歳以上[人]","聴覚・平衡機能障害 18歳未満[人]","聴覚・平衡機能障害 18歳以上[人]","音声・言語そしゃく機能障害 18歳未満[人]","音声・言語そしゃく機能障害 18歳以上[人]","肢体不自由 18歳未満[人]","肢体不自由 18歳以上[人]","心臓機能障害 18歳未満[人]","心臓機能障害 18歳以上[人]","じん臓機能障害 18歳未満[人]","じん臓機能障害 18歳以上[人]","呼吸器機能障害 18歳未満[人]","呼吸器機能障害 18歳以上[人]","ぼうこう直腸機能障害(小腸含む) 18歳未満[人]","ぼうこう直腸機能障害(小腸含む) 18歳以上[人]","免疫機能障害 18歳未満[人]","免疫機能障害 18歳以上[人]","肝臓機能障害 18歳未満[人]","肝臓機能障害 18歳以上[人]","18歳未満 合計[人]","18歳以上 合計[人]","合計[人]"
"2017","合計","5","338","21","356","1","56","91","2451","11","809","0","461","6","73","5","231","0","163","0","18","140","4956","5096"
"2018","合計","6","320","22","362","1","60","85","2444","15","829","1","470","7","67","5","238","0","176","1","16","143","4982","5125"
"2019","合計","5","331","23","366","2","61","65","2391","12","853","2","461","8","70","7","250","0","184","0","19","124","4986","5110"
"2020","合計","9","322","23","364","1","58","91","2314","15","845","1","475","6","62","5","240","0","185","0","16","151","4881","5032"
"2021","１級","3","72","0","1","0","0","22","223","12","613","1","453","5","10","0","3","0","21","0","13","43","1409","1452"
"2021","２級","2","127","9","95","0","0","35","487","0","0","0","0","0","0","0","0","0","72","0","3","46","784","830"
"2021","３級","1","21","4","44","0","41","18","589","1","110","0","5","0","28","2","14","0","51","0","0","26","903","929"
"2021","４級","1","22","1","125","1","22","3","596","5","116","0","4","0","20","0","209","0","46","0","0","11","1160","1171"
"2021","５級","5","69","0","3","0","0","5","214","0","0","0","0","0","0","0","0","0","0","0","0","10","286","296"
"2021","６級","0","14","9","119","0","0","3","100","0","0","0","0","0","0","0","0","0","0","0","0","12","233","245"
"2021","合計","12","325","23","387","1","63","86","2209","18","839","1","462","5","58","2","226","0","190","0","16","148","4775","4923"

"令和4年度港区行政資料集　身体障害者手帳所持者数","Ver202203",,,,,,,,,,,,,,,,,,,,,,,
