対象物,呼称,申請者,届出先,根拠法令,内容,規定,点検頻度,報告頻度,備考
特定建築物,特定建築物／定斯調査報告,建物所有者(管理者がいる場合は管理者),特定行政庁,建築基準法第12条第1項,建築物の敷地及び構造等についての損傷、腐食その他の劣化の状況について調査,報告義務,3年ごと(共同住宅),3年ごと(共同住宅),・共同住宅の場合は、5階以上の階に100m2を超える共同住宅の用途に供する部分があり、かつ共同住宅の用途に供する部分の面積の合計が1000m2を超えるものが対象
防火設備,防火設備／定斯検査報告,建物所有者(管理者がいる場合は管理者),特定行政庁,建築基準法第12条第3項,防火設備についての損傷、腐食その他の劣化の状況を検査,報告義務,１年ごと,１年ごと,・特定建築物定期調査報告の対象となっている建築物等に設けられた随時閉鎖又は作動できる防火設備が対象(防火ダンパーを除く。）
昇降機等,昇降機等／定期検査報告,建物所有者(管理者がいる場合は管理者),特定行政庁,建築基準法第12条第3項,昇降機等についての損傷、腐食その他の劣化の状況を検査,報告義務,１年ごと,１年ごと,・エレベーター、エスカレーター、小荷物専用昇降機（テーブルタイプを除く。）等
建築設備,建築設備／定期検査報告,建物所有者(管理者がいる場合は管理者),特定行政庁,建築基準法第12条第3項,建築設備についての損傷、腐食その他の劣化の状況を検査,報告義務,１年ごと,１年ごと,・特定建築物定期調査報告の対象となっている建築物等に設けられた換気設備、排煙設備、非常用の照明装置、給水設備・排水設備
貯水槽(簡易専用水道),簡易専用水道／定期水質検査,簡易専用水道設置者,保健所,水道法第34条の2、水道法施行規則第56条,検査機関による、水槽の外観検査、清掃記録等書類検査、水質検査など,受検義務,１年に１回以上,[sanitize],・検査機関は厚生労働大臣より登録を受ける／・都では残留塩素測定を週１回、水の状態の観察を毎日おこなうように指導
貯水槽(専用水道),専用水道／定期水質検査,専用水道設置者,保健所,水違法第20条、水道法施行規則第15条,一色及び濁り（目視でも可）、消毒の残留効果に関する検査／・一般細菌、大腸菌等／・シアン化物イオン及び塩化シアン並びに消毒副生成物11項目等,受検義務,水質検査月１回／消毒検査日１回,１月に１回以上,・検査機関は厚生労働大臣より登録を受ける
消防用設備等,機器点検,防火対象物の関係者(所有者、管理者、占有者),消防長又は消防署長,消防法第17条の3の3,消防用設備等の機器の適正な配置、損傷等の有無及び外観又は簡易な操作により判別できる事項を消防用設備等の種類に応じて、告示で定める基準に従い点検,報告義務,６ヶ月に1回,原則３年ごと(建物の形態によっては1年ごと),・原則、消防設備士又は消防設備点検資格者が行う。
消防用設備等,総合点検,防火対象物の関係者(所有者、管理者、占有者),消防長又は消防署長,消防法第17条の3の3,当該消防用設備等の種類に応じて、起動させ、告示で定める基準に従い点検,報告義務,１年に1回,原則３年ごと(建物の形態によっては1年ごと),・原則、消防設備士又は消防設備点検資格者が行う。
浄化槽,浄化槽定期検査,浄化槽管理者,[sanitize],浄化槽法第7条、第11条,指定検査機関による外観検査、清掃記録等書類検査、水質に関する検査,受検義務,1年毎,[sanitize],・使用開始後3か月を経過した日から５か月以内／・検査機関は都知事指定
浄化槽,浄化槽保守／点検・清掃,浄化槽管理者,[sanitize],浄化槽法第10条,機器の点検・調整・簡単な修理、簡易な水質検査、害虫の駆除・消毒薬の補充等,点検・清掃義務,浄化槽の種類によって異なる,[sanitize],・501人槽以上の場合は浄化槽技術管理者の設置が必要／・定期検査時に書類検査を行う
自家用電気工作物,自家用電気／工作物定期点検,電気の使用者,経済産業省,電気事業法,定期点検（全設備を停電させて、機器の清掃、締めつけ点検、各機器の絶縁抵抗測定や保護装置の作動試験などを行い、技術基準に適合しているか確認）,報告義務,月次点検月1回／年次点検年1回,1年ごと,[sanitize]
自家用電気工作物,自家用電気／工作物精密点検,電気の使用者,経済産業省,電気事業法,精密点検(全設備を停電させて、各機器の特性試験、自家用発電設備ある発電機やエンジンの分解点検、変圧器などの絶縁油の劣化測定を行う）,報告義務,3年ごと,3年ごと,[sanitize]
