名称,郵便番号,電話,所在地,緯度,経度,座標系
光華,192-0375,042-676-8336,八王子市鑓水428,35.622306,139.342163,JGD2011
優仁ホーム,192-0152,042-651-3438,八王子市美山町1463,35.684752,139.257315,JGD2011
昭島荘,196-0022,042-541-5981,昭島市中神町1260,35.709385,139.382215,JGD2011
あかつき,187-0032,042-341-4711,小平市小川町1-485,35.727651,139.440373,JGD2011
くるめ園,187-0021,042-321-8866,小平市上水南町4-7-45,35.708799,139.491028,JGD2011
黎明寮,187-0032,042-341-0336,小平市小川町1-485,35.727651,139.440373,JGD2011
光の家神愛園,191-0065,042-581-2340,日野市旭が丘1-17-17,35.656652,139.372803,JGD2011
さつき荘,189-0024,042-396-2244,東村山市富士見町2-8-2,35.740609,139.453774,JGD2011
村山荘,189-0024,042-391-1262,東村山市富士見町2-7-5,35.740203,139.452535,JGD2011
救世軍自省館,204-0023,042-493-5374,清瀬市竹丘1-17-60,35.769099,139.507385,JGD2011
