"職種","職別現員 統括参事[人]","職別現員 参事[人]","職別現員 統括課長[人]","職別現員 副参事[人]","職別現員 課長補佐[人]","職別現員 係長[人]","職別現員 主査[人]","職別現員 主任[人]","職別現員 係員[人]","職別現員 計[人]","定数外 自治法上派遣[人]","定数外 休職、結核休養[人]","定数外 育休、公務災害休養[人]","定数外 派遣法による派遣[人]","定数外 特別区等相互間の派遣交流[人]","定数外 配偶者同行休業[人]"
"事務","0","13","18","28","49","147","43","350","345","993","13","21","32","8","0","1"
"社会教育","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(a)事務系計","0","13","18","28","49","147","43","350","345","993","13","21","32","8","0","1"
"福祉 福祉","0","1","0","3","5","18","34","21","41","123","1","2","2","1","0","0"
"福祉 児童指導","0","0","0","0","2","8","2","23","18","53","0","1","1","0","0","0"
"福祉 保育士","0","0","0","0","2","42","8","101","156","309","0","2","30","0","0","0"
"心理","0","0","0","0","0","2","3","4","4","13","0","1","1","0","0","0"
"(b)福祉系計","0","1","0","3","9","70","47","149","219","498","1","6","34","1","0","0"
"土木造園 土木技術","0","2","0","11","9","17","4","12","33","88","0","2","2","0","0","0"
"土木造園 造園技術","0","0","0","1","0","3","0","5","2","11","0","0","0","0","0","0"
"建築","0","1","2","6","4","20","0","20","28","81","1","1","3","0","0","0"
"機械","0","0","0","0","0","1","2","3","2","8","0","0","0","0","0","0"
"電気","0","0","1","0","1","0","0","3","3","8","1","0","0","0","0","0"
"衛生監視 保健衛生","0","0","0","0","1","4","2","13","4","24","0","0","0","0","0","0"
"衛生監視 食品衛生","0","0","0","1","1","4","5","11","4","26","0","0","0","0","0","0"
"衛生監視 化学技術","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"学芸研究","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0"
"(c)一般技術系計","0","3","3","19","16","49","13","68","76","247","2","4","5","0","0","0"
"医師","0","2","0","1","0","0","1","0","0","4","0","0","0","0","0","0"
"診療放射線","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"歯科衛生","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0"
"理学療法","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"作業療法","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"検査技術","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0"
"栄養士","0","0","0","0","0","1","4","2","2","9","0","0","0","0","0","0"
"保健師","0","0","0","1","5","2","5","12","10","35","0","2","3","0","0","0"
"看護師","0","0","0","0","0","0","6","7","3","16","0","0","0","0","0","0"
"(d)医療技術系計","0","2","0","2","5","5","16","23","16","69","0","2","4","0","0","0"
"１ 自動車運転","0","0","0","0","0","4","0","4","3","11","0","0","0","0","0","0"
"２ 警備","0","0","0","0","0","0","0","2","0","2","0","1","0","0","0","0"
"２ 作業１","0","0","0","0","0","0","0","2","16","18","0","0","0","0","0","0"
"３ 調理","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0"
"３ 用務","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"３ 作業２","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"４ 家庭奉仕","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"５ 自動車運転２","0","0","0","0","0","3","0","12","2","17","0","0","0","0","0","0"
"５ 自動車整備","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
"６ 作業３","0","0","0","0","2","15","0","44","18","79","0","2","0","0","0","0"
"(e)技能系計","0","0","0","0","2","22","0","68","39","131","0","4","0","0","0","0"
"事務（業務）","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(f)業務系計","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(1)(a)～(f)一般関係計","0","19","21","52","81","293","119","658","695","1938","16","37","75","9","0","1"

"令和5年度港区行政資料集　一般関係職員（常勤職員）・暫定再任用フルタイム勤務職員を含む","Ver202304",,,,,,,,,,,,,,,
