"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","意味を知っていた[人]","聞いたことはあるが意味は知らなかった[人]","聞いたことがなかった[人]","無回答[人]"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","全体",,"558","235","145","162","16"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","性・年代別","男性（計）","231","123","52","54","2"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","性・年代別","男性 18～29歳","13","8","4","1","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","性・年代別","男性 30～39歳","38","24","5","9","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","性・年代別","男性 40～49歳","50","27","9","13","1"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","性・年代別","男性 50～59歳","47","29","12","6","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","性・年代別","男性 60～69歳","42","20","11","10","1"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","性・年代別","男性 70歳以上","40","15","11","14","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","性・年代別","男性 無回答","1","0","0","1","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","性・年代別","女性（計）","313","109","93","105","6"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","性・年代別","女性 18～29歳","26","13","8","5","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","性・年代別","女性 30～39歳","49","22","9","18","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","性・年代別","女性 40～49歳","78","33","20","25","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","性・年代別","女性 50～59歳","62","22","20","20","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","性・年代別","女性 60～69歳","56","13","20","22","1"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","性・年代別","女性 70歳以上","42","6","16","15","5"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","性・年代別","女性 無回答","0","0","0","0","0"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","性・年代別","無回答","14","3","0","3","8"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","職業別","自営業主・家族従業","86","32","23","30","1"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","職業別","会社員・団体職員・公務員","243","121","59","62","1"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","職業別","アルバイト・パートタイマー","35","10","9","15","1"
"202203","生物多様性","Q17. 「生物多様性 」 という言葉を知っていましたか 。","職業別","家事専業","55","18","13","23","1"
