大分類,小分類,名称,郵便番号,所在地,設置場所,曜日,時間,情報,X座標,Y座標
２４時間対応可能,協力施設,ＴＨＥ　ＧＡＴＥ　ＨＯＴＥＬ　雷門　ｂｙ　ＨＵＬＩＣ,,台東区雷門2-16-11,13階フロント,全日,24時間可能,宿泊者以外が24：00～翌6：00に使用する場合、セキュリティの為、玄関が施錠されているのでインターフォンで呼出,139.7952585,35.71076525
２４時間対応可能,協力施設,アゴーラ・プレイス浅草,,台東区寿2-2-9,1階フロント,全日,24時間可能,,139.7909177,35.70896199
２４時間対応可能,協力施設,アパホテル〈京成上野駅前〉,,台東区上野2-14-26,1階フロント,全日,24時間可能,深夜2時～5時は施錠している為インターフォンでスタッフ呼出,139.7730063,35.71143533
２４時間対応可能,協力施設,アパホテル〈上野駅北〉,,台東区上野7-12-11,1階フロント後方,全日,24時間可能,夜間は正面玄関が施錠される為インターフォンにて対応,139.7804167,35.71588282
２４時間対応可能,協力施設,アパホテル〈浅草橋駅北〉,,台東区浅草橋3-1-10,1階フロント,全日,24時間可能,,139.7877297,35.70011631
２４時間対応可能,協力施設,アパホテル〈浅草蔵前〉,,台東区駒形2-4-6,1階フロント,全日,24時間可能,,139.7941816,35.7057755
２４時間対応可能,協力施設,アパホテル〈浅草田原町駅前〉,,台東区西浅草1-2-3,1階フロント,全日,24時間可能,夜間はオートロックのためインターフォンでスタッフ呼出,139.7900887,35.7103095
２４時間対応可能,協力施設,アパホテル〈浅草雷門〉,,台東区雷門2-14-1,1階フロント,全日,24時間可能,,139.7952412,35.71009692
２４時間対応可能,協力施設,アパホテル＜秋葉原駅北＞,,東京都台東区台東１ー２９ー２,１階フロントカウンター,全日,２４時間可能,深夜帯は入口がオートロックの為インターフォンでスタッフの呼び出し後に従業員が解除,139.7760391,35.70167886
２４時間対応可能,協力施設,アパホテル＜上野稲荷町駅北＞,,東京都台東区東上野５ー１０ー８,１階フロント,全日,２４時間可能,,139.7826988,35.71345008
２４時間対応可能,協力施設,アパホテル＜上野駅前＞,,東京都台東区東上野２ー１８ー７,１５階大浴場前,全日,２４時間可能,,139.7770651,35.71028343
２４時間対応可能,協力施設,アパホテル＜上野駅前＞,,東京都台東区東上野２ー１８ー７,１階フロントカウンター,全日,２４時間可能,,139.7770305,35.71028903
