大分類,小分類,名称,所在地,電話番号,情報,X座標,Y座標
区立保育園,区立保育園,谷中保育園,上野桜木2丁目16番10号,03-3828-3223,,139.7714448,35.72254338
区立保育園,区立保育園,待乳保育園,今戸2丁目26番12号,03-3873-4150,,139.8075529,35.72192514
区立保育園,区立保育園,三筋保育園,三筋2丁目16番4号,03-3866-2413,,139.7870846,35.70597524
区立保育園,区立保育園,台東保育園,台東1丁目11番10号,03-3832-6743,,139.7765454,35.7012655
区立保育園,区立保育園,松が谷保育園,松が谷4丁目15番11号,03-3843-0853,,139.7863338,35.71851406
区立保育園,区立保育園,東上野保育園,東上野2丁目25番12号,03-3833-9810,,139.7814947,35.70947479
区立保育園,区立保育園,浅草橋保育園,浅草橋2丁目23番5号,03-3866-0321,,139.7847452,35.70019583
区立保育園,区立保育園,千束保育園,千束3丁目20番6号,03-3874-1713,,139.7928029,35.7223237
区立保育園,区立保育園,玉姫保育園,清川2丁目22番16号,03-3872-5364,平成31年3月末まで仮園舎へ移転 （清川2丁目24番8号）,139.8039028,35.72752406
区立保育園,区立保育園,坂本保育園,下谷3丁目11番2号,03-3873-4287,,139.7872334,35.72502352
私立保育園,私立保育園,康保会乳児保育所,日本堤2丁目7番1号,03-3875-0058,,139.797582,35.72704308
私立保育園,私立保育園,花川戸保育園,花川戸2丁目11番13号,03-3844-8366,,139.8004427,35.7148447
私立保育園,私立保育園,共生保育園,橋場1丁目10番11号,03-3873-1369,,139.8054629,35.72382468
私立保育園,私立保育園,上野保育園,東上野6丁目20番7号,03-3841-7545,,139.7838742,35.71477435
私立保育園,私立保育園,立華学苑,谷中5丁目4番19号,03-3828-9255,,139.766185,35.72492291
私立保育園,私立保育園,清川保育園,清川1丁目15番11号,03-3872-0116,,139.8028527,35.72495418
私立保育園,私立保育園,康保会保育園,日本堤1丁目6番2号,03-3875-0514,,139.7979422,35.72497344
私立保育園,私立保育園,愛隣保育園,根岸5丁目15番3号,03-3872-4547,,139.7881832,35.72761326
区立保育園,区立保育園,東上野乳児保育園（公設民営）,東上野4丁目22番3号,03-3844-3577,,139.7814944,35.71438433
私立保育園,私立保育園,アスクくらまえ保育園,蔵前4丁目16番10号,03-5822-5205,,139.7883809,35.70371136
私立保育園,私立保育園,チェリッシュ浅草保育園,浅草3丁目11番7号　ウィスタリア1階・2階,03-5808-7817,,139.7935376,35.71727253
保育施設,保育施設,ゆらりん上野保育園,入谷2丁目1番8号グレンコート2階,03-5603-1488,認証保育所,139.7890366,35.71841572
保育施設,保育施設,ソラスト浅草,花川戸1丁目15番9号パークサイド花川戸2階,03-5246-6455,認証保育所,139.7983891,35.71415475
