区分,,平成23年度[人],平成24年度[人],平成25年度[人],平成26年度[人],平成27年度[人]
定期予防接種,ヒブ,5509,6970,9009,9080,9461
定期予防接種,小児用肺炎球菌,6069,7266,8976,9012,9468
定期予防接種,ジフテリア､百日せき、破傷風,8333,6917,2045,465,15
定期予防接種,ジフテリア､破傷風,1280,1066,736,992,848
定期予防接種,急性灰白髄炎（不活化ポリオ）,,6342,2537,997,201
定期予防接種,急性灰白髄炎（経口生ワクチン）,3110,1014,,,
定期予防接種,四種混合,,960,6421,8686,9472
定期予防接種,ＢＣＧ,1977,1866,1971,2055,2235
定期予防接種,麻しん、風しん,6229,5948,3616,3723,3743
定期予防接種,麻しん(単独),0,3,0,0,0
定期予防接種,風しん(単独),19,17,1,0,1
定期予防接種,日本脳炎,9392,7784,6671,6377,6167
定期予防接種,ヒトパピローマウイルス感染症,8566,3228,158,2,5
定期予防接種,水痘,,,,3808,4300
定期予防接種,高齢者インフルエンザ,26207,26083,27048,28416,28764
定期予防接種,高齢者用肺炎球菌,,,,4210,3182
任意予防接種,高齢者肺炎球菌,1910,993,1775,1485,
任意予防接種,麻しん、風しん（子ども）,154,130,291,98,77
任意予防接種,麻しん(単独)（子ども）,0,1,0,3,1
任意予防接種,風しん（単独）（子ども）,5,8,2,1,4
任意予防接種,麻しん、風しん（大人）,,21,4284,598,635
任意予防接種,風しん(単独)（大人）,,2,19,4,11
