区分,,平成23年度実人員,平成23年度支給延月数,平成24年度実人員,平成24年度支給延月数,平成25年度実人員,平成25年度支給延月数,平成26年度実人員,平成26年度支給延月数,平成27年度実人員,平成27年度支給延月数
生活保護世帯,妊産婦,1,1,1,6,2,3,1,6,0,0
生活保護世帯,乳幼児,6,45,6,31,3,14,5,37,1,7
生活保護世帯,計,7,46,7,37,5,17,6,43,1,7
区民税非課税世帯,妊産婦,3,8,0,0,5,13,2,2,0,0
区民税非課税世帯,乳幼児,13,85,10,52,14,74,6,45,0,0
区民税非課税世帯,計,16,93,10,52,19,87,8,47,0,0
所得税非課税世帯,妊産婦,0,0,0,0,0,0,0,0,0,0
所得税非課税世帯,乳幼児,0,0,2,12,0,0,0,0,0,0
所得税非課税世帯,計,0,0,2,12,0,0,0,0,0,0
合計,妊産婦,4,9,1,6,7,16,3,8,0,0
合計,乳幼児,19,130,18,95,17,88,11,82,1,7
合計,計,23,139,19,101,24,104,14,90,1,7
