主な死因,平成23年全国,平成23年東京都,平成23年墨田区,平成24年全国,平成24年東京都,平成24年墨田区,平成25年全国,平成25年東京都,平成25年墨田区,平成26年全国,平成26年東京都,平成26年墨田区,平成27年全国,平成27年東京都,平成27年墨田区
総数,992,823,986,997,845,993,1009,851,947,1015,851,975,1029,850,953
悪性新生物,283,250,291,286,255,296,290,257,293,293,259,293,295,255,299
心疾患,154,123,155,158,130,162,156,124,159,157,129,145,156,128,125
脳血管疾患,98,80,101,97,77,90,94,75,82,91,72,85,89,69,91
肺炎,99,77,81,98,78,83,98,78,87,95,75,88,96,76,91
慢性閉塞性肺疾患,13,11,17,13,11,16,13,10,13,13,10,10,13,10,11
肝疾患,13,14,20,13,14,21,13,14,16,13,13,22,12,13,17
腎不全,19,14,18,20,14,19,20,15,22,20,14,21,20,14,17
老衰,41,33,28,48,39,33,55,45,30,60,48,43,68,53,39
不慮の事故,47,21,30,32,21,27,31,21,20,31,21,29,30,20,24
自殺,23,23,23,21,20,18,21,20,25,20,19,24,18,17,20
その他全死因,202,177,222,211,186,228,218,192,200,222,191,215,231,194,219
