区分,,,,平成23年[人],平成24年[人],平成25年[人],平成26年[人],平成27年[人]
母子健康診査,妊婦,,,23370,24322,24815,27480,28152
母子健康診査,乳幼児,3～4月児,,1982,2073,2107,2159,2392
母子健康診査,乳幼児,委託医療機関,6月児,1837,1825,1906,2003,2266
母子健康診査,乳幼児,委託医療機関,9月児,1718,1731,1848,1873,2149
母子健康診査,乳幼児,委託医療機関,1歳6月児,1818,1787,1828,1979,1936
母子健康診査,乳幼児,3歳児,,1733,1828,1798,1788,1867
母子健康診査,歯科,1歳6月児,,1769,1785,1818,1939,1951
母子健康診査,歯科,3歳児,,1724,1830,1796,1790,1867
母子健康診査,歯科,その他の母子歯科,,5127,4291,4395,3651,3311
区民健康診査,若年区民健診,,,754,856,770,742,681
区民健康診査,"若年節目
健診",20歳,,120,99,105,105,66
区民健康診査,"若年節目
健診",25歳,,196,209,180,151,127
区民健康診査,"若年節目
健診",30歳,,423,472,495,526,506
区民健康診査,"若年節目
健診",35歳,,554,640,623,592,583
区民健康診査,"若年節目
健診",計,,1293,1420,1403,1374,1282
区民健康診査,胃がん,,,2924,3562,4943,5865,5882
区民健康診査,子宮頸がん,,,5734,5814,5913,5672,6033
区民健康診査,子宮頸がん(体部)再掲,,,148,145,105,79,102
区民健康診査,乳がん,,,5010,4483,4812,4451,5315
区民健康診査,肺がん,X線,,600,689,603,921,1065
区民健康診査,肺がん,喀痰,,542,606,527,188,238
区民健康診査,大腸がん,,,16641,18773,19666,20905,22414
結核検診,ツベルクリン反応検査,,,8,10,15,8,10
結核検診,X線検査者数,,,42512,38519,47402,40842,58433
結核検診,定期外検診,,,374,411,383,627,512
結核検診,ＱＦＴ検査,,,215,213,184,175,162
訪問指導,妊産婦(延),,,207,211,264,296,405
訪問指導,乳児(延),,,1854,1886,1963,2172,2548
訪問指導,ねたきり者等看護(延),,,1204,1027,1017,905,788
