,分類,疾病名,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
感染症,３類,コレラ,0,0,0,0,0
感染症,３類,細菌性赤痢,4,3,3,1,1
感染症,３類,腸チフス,1,3,0,0,2
感染症,３類,パラチフス,0,1,1,0,0
感染症,３類,腸管出血性大腸菌感染症,6,7,11,8,11
感染症,４類,マラリア,1,1,0,1,1
感染症,４類,デング熱,5,3,12,7,8
感染症,４類,レジオネラ症,0,0,1,4,7
感染症,４類,Ｅ型肝炎,0,0,0,0,1
感染症,４類,Ａ型肝炎,0,3,3,1,1
感染症,４類,レプトスピラ症,1,2,2,1,2
感染症,４類,エキノコックス症,0,0,0,0,0
感染症,４類,ブルセラ症,0,0,0,0,0
感染症,４類,日本紅斑熱,0,0,0,0,0
感染症,５類,アメーバ赤痢,6,3,4,11,9
感染症,５類,後天性免疫不全症候群,9,15,17,22,6
感染症,５類,梅毒,1,4,5,5,19
感染症,５類,ジアルジア症,0,1,2,0,2
感染症,５類,クリプトスポリジウム症,1,0,1,0,0
感染症,５類,破傷風,0,1,1,0,0
感染症,５類,劇症型溶血性レンサ球菌感染症,0,1,1,2,1
感染症,５類,先天性風しん症候群,0,0,2,0,0
感染症,５類,侵襲性肺炎球菌感染症,,,7,10,17
感染症,５類,侵襲性髄膜炎菌感染症,,,0,2,0
感染症,５類,クロイツフェルト・ヤコブ病,0,0,0,1,0
感染症,５類,急性脳炎,2,5,1,5,3
感染症,５類,"カルバペネム耐性腸内細菌科細菌感染症
",,,,0,4
感染症,５類,水痘（入院例に限る）,,,,0,2
感染症,５類,風しん,2,56,51,0,0
感染症,５類,麻しん,8,3,4,2,1
,計,,47,112,129,83,98
