区分,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
医療費件数[件],9505,9194,8638,8287,8067
医療費金額[千円],197179,194093,189625,164951,161209
障害補償費件数[件],4183,4056,3974,3824,3711
障害補償費金額[千円],296427,287950,285356,278756,271554
児童補償手当件数[件],0,0,0,0,0
児童補償手当金額[千円],0,0,0,0,0
療養手当件数[件],1544,1541,1467,1367,1380
療養手当金額[千円],35611,35385,33705,31173,31802
遺族補償費件数[件],122,121,104,102,117
遺族補償費金額[千円],16851,16471,14200,13861,15703
遺族補償一時金件数[件],2,0,1,1,2
遺族補償一時金金額[千円],9270,0,2777,4166,10915
葬祭料件数[件],2,1,2,3,3
葬祭料金額[千円],1152,328,812,1799,1774
合計件数[件],15358,14913,14186,13584,13280
合計金額[千円],556490,534227,526475,494706,492957
