主な死因,平成23年全国,平成23年東京都,平成23年墨田区,平成24年全国,平成24年東京都,平成24年墨田区,平成25年全国,平成25年東京都,平成25年墨田区,平成26年全国,平成26年東京都,平成26年墨田区,平成27年全国,平成27年東京都,平成27年墨田区
総数,1253463,105708,2374,1256254,109180,2408,1268432,110495,2319,1273020,111014,2417,1290428,111657,2387
悪性新生物,357185,32114,701,360790,32901,718,364721,33328,717,367943,33800,727,370131,33509,750
心疾患,194761,15808,374,198622,16736,394,196547,16585,390,196760,16885,359,195933,16865,313
脳血管疾患,123784,10278,244,121505,9887,219,118286,9679,200,114118,9380,211,111875,9063,228
肺炎,124652,9868,194,123818,10131,202,122880,10096,213,119566,9721,219,120846,9981,229
慢性閉塞性肺疾患,16620,1454,41,16371,1432,38,16408,1346,31,16160,1333,26,15749,1357,27
肝疾患,16362,1800,47,15944,1806,51,15904,1764,40,15656,1750,55,15630,1721,43
腎不全,24493,1760,44,25061,1816,45,25074,1907,55,24747,1858,51,24532,1805,43
老衰,52207,4186,67,60669,5017,79,69684,5847,73,75340,6190,106,84755,7021,98
不慮の事故,59596,2745,72,40857,2756,66,39435,2732,50,39011,2689,72,38195,2599,59
自殺,28874,2910,55,26400,2567,43,26038,2610,62,24398,2439,59,23121,2279,49
その他全死因,254929,22785,535,266217,24131,553,273455,24601,488,279321,24969,532,289661,25457,548
