,病名,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
1,球脊髄性筋萎縮症,0,0,0,1,0
2,筋萎縮性側索硬化症,14,17,17,13,17
3,脊髄性筋萎縮症,3,2,3,1,1
4,原発性側索硬化症,,,,,1
5,進行性核上性麻痺,,,,2,20
6,パーキンソン病,203,220,256,237,232
7,大脳皮質基底核変性症,,,,,4
8,ハンチントン病,0,1,2,6,5
10,シャルコー・マリー・トゥース病,,,,,6
11,重症筋無力症,38,37,44,54,49
13,多発性硬化症/視神経脊髄炎,46,31,41,50,54
14,慢性炎症性脱髄性多発神経炎／多巣性運動ニューロパチー,7,5,8,13,8
17,多系統萎縮症,16,22,25,25,15
18,脊髄小脳変性症,31,30,37,44,40
19,ライソゾーム病,3,2,2,2,1
21,ミトコンドリア病,3,3,5,9,7
22,もやもや病,26,27,29,29,27
23,プリオン病,1,1,5,5,0
28,全身性アミロイドーシス,2,1,2,2,3
34,神経線維腫症,10,10,11,12,14
35,天疱瘡,13,15,13,14,19
36,表皮水疱症,0,0,1,0,0
37,膿疱性乾癬（汎発型）,1,3,1,3,2
38,スティーヴンス・ジョンソン症候群,0,0,0,0,1
40,高安動脈炎,13,15,19,15,11
41,巨細胞性動脈炎,,,,1,2
42,結節性多発動脈炎,16,19,20,9,4
43,顕微鏡的多発血管炎,,,,,15
44,多発血管炎性肉芽腫症,4,3,4,3,8
45,アレルギー性肉芽腫性血管炎,3,7,10,14,10
46,悪性関節リウマチ,9,8,8,6,9
47,バージャー病,12,13,11,14,11
48,原発性抗リン脂質抗体症候群,,,,,1
49,全身性エリテマトーデス,113,114,115,115,114
50,皮膚筋炎／多発性筋炎,38,38,40,44,55
51,全身性強皮症,58,73,68,74,52
52,混合性結合組織病,18,16,16,20,17
53,シェーグレン症候群,27,25,28,37,28
54,成人スチル病,8,8,8,9,6
56,ベーチェット病,39,42,51,56,71
57,特発性拡張型心筋症,46,43,47,60,57
58,肥大型心筋症,4,3,10,11,9
60,再生不良性貧血,11,14,13,22,15
61,自己免疫性溶血性貧血,,,,1,1
62,発作性夜間ヘモグロビン尿症,,,,,1
63,特発性血小板減少性紫斑病,49,48,46,44,49
65,原発性免疫不全症候群,6,7,7,10,6
66,ＩｇＡ　腎症,,,,3,6
67,多発性嚢胞腎,10,15,14,18,19
68,黄色靭帯骨化症,5,4,2,9,9
69,後縦靭帯骨化症,61,72,69,75,78
70,広範脊柱管狭窄症,9,9,11,11,22
71,特発性大腿骨頭壊死症,14,25,31,32,28
72～78,間脳下垂体機能障害,21,29,31,33,27
84,サルコイドーシス,28,32,34,23,60
85,特発性間質性肺炎,18,21,20,16,31
86,肺動脈性肺高血圧症,3,4,4,4,6
88,慢性血栓塞栓性肺高血圧症,2,3,3,2,8
89,リンパ脈管筋腫症,3,2,2,2,6
90,網膜色素変性症,58,54,55,63,53
92,特発性門脈圧亢進症,2,2,1,1,0
93,原発性胆汁性肝硬変,36,36,39,48,45
95,自己免疫性肝炎,17,13,11,12,7
96,クローン病,61,58,78,79,85
97,潰瘍性大腸炎,253,274,275,298,312
106,クリオピン関連周期熱症候群,,,,,2
127,前頭側頭葉変性症,,,,,1
162,類天疱瘡,,,,,1
164,眼皮膚白皮症,,,,,1
167,マルファン症候群,,,,,2
193,プラダー・ウィリ症候群,,,,,1
222,一次性ネフローゼ症候群,,,,,1
271,強直性脊椎炎,,,,,1
306,好酸球性副鼻腔炎,,,,,3
都741,進行性筋ジストロフィー,7,10,9,8,9
都76,ウィルソン病,1,2,2,2,2
都765,脊髄空洞症,2,2,2,3,1
都80,骨髄線維症,2,1,1,1,0
都81,ネフローゼ症候群,35,37,34,33,15
都83,母斑症,4,3,3,3,2
都866,肝内結石症,1,0,1,1,0
都87,ミオトニー症候群,6,4,5,12,0
都88,特発性好酸球増多症候群,1,0,0,0,0
都89,強直性脊椎炎,8,6,11,11,0
都91,びまん性汎細気管支炎,3,3,3,3,0
都96,先天性ミオパチー,1,1,2,1,0
都97,網膜脈絡膜委縮症,2,1,1,1,0
特定疾患,スモン,4,5,5,0,0
特定疾患,劇症肝炎,0,2,1,0,0
特定疾患,重症急性膵炎,10,4,11,11,0
特殊医療（国指定）,先天性血液凝固因子欠乏症等,11,15,12,8,10
特殊医療（都単独）,人工透析を必要とする腎不全,566,586,584,606,612
肝炎,Ｂ型Ｃ型ウイルス肝炎インターフェロン治療,104,31,17,18,18
肝炎,Ｂ型ウイルス肝炎核酸アナログ製剤治療,,82,82,107,107
肝炎,Ｃ型ウイルス肝炎ペグインターフェロン、リバビン及びプロテアーゼ阻害剤３剤併用療法,,5,20,13,0
肝炎,Ｃ型ウイルス肝炎インターフェロンフリー治療,,,,38,127
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
平成２７年１月１日から難病の新たな医療制度が始まり、指定難病が拡充した。国１１０疾病、都１６疾病。申請があった病名のみ記載。,,,,,,
