"年度[西暦]","処理内容","建築基準法根拠規定別同意件数[件]"
2013,"同意 第43条接道義務の許可",0
2013,"同意 第44条道路内建築制限の許可",12
2013,"同意 第48条用途制限の許可",0
2013,"同意 第52条容積率制限の許可",0
2013,"同意 第56条の２日影による高さ制限の許可",0
2013,"同意 第58条高度地区斜線制限の許可",0
2013,"同意 第59条の２総合設計の許可",2
2013,"同意 第68条の５再開発地区計画区域内の許可",0
2013,"同意 その他",1
2013,"審査請求 審査請求件数",4
2013,"審査請求 裁決件数",0
2013,"審査請求 取下げ件数",0
2013,"審査請求 審理中（年度末時点）",4
2014,"同意 第43条接道義務の許可",0
2014,"同意 第44条道路内建築制限の許可",6
2014,"同意 第48条用途制限の許可",0
2014,"同意 第52条容積率制限の許可",0
2014,"同意 第56条の２日影による高さ制限の許可",1
2014,"同意 第58条高度地区斜線制限の許可",0
2014,"同意 第59条の２総合設計の許可",0
2014,"同意 第68条の５再開発地区計画区域内の許可",0
2014,"同意 その他",2
2014,"審査請求 審査請求件数",7
2014,"審査請求 裁決件数",9
2014,"審査請求 取下げ件数",0
2014,"審査請求 審理中（年度末時点）",2
2015,"同意 第43条接道義務の許可",0
2015,"同意 第44条道路内建築制限の許可",1
2015,"同意 第48条用途制限の許可",0
2015,"同意 第52条容積率制限の許可",1
2015,"同意 第56条の２日影による高さ制限の許可",0
2015,"同意 第58条高度地区斜線制限の許可",0
2015,"同意 第59条の２総合設計の許可",0
2015,"同意 第68条の５再開発地区計画区域内の許可",0
2015,"同意 その他",1
2015,"審査請求 審査請求件数",2
2015,"審査請求 裁決件数",0
2015,"審査請求 取下げ件数",4
2015,"審査請求 審理中（年度末時点）",0
2016,"同意 第43条接道義務の許可",1
2016,"同意 第44条道路内建築制限の許可",11
2016,"同意 第48条用途制限の許可",0
2016,"同意 第52条容積率制限の許可",1
2016,"同意 第56条の２日影による高さ制限の許可",1
2016,"同意 第58条高度地区斜線制限の許可",0
2016,"同意 第59条の２総合設計の許可",2
2016,"同意 第68条の５再開発地区計画区域内の許可",0
2016,"同意 その他",1
2016,"審査請求 審査請求件数",1
2016,"審査請求 裁決件数",0
2016,"審査請求 取下げ件数",0
2016,"審査請求 審理中（年度末時点）",1
2017,"同意 第43条接道義務の許可",0
2017,"同意 第44条道路内建築制限の許可",9
2017,"同意 第48条用途制限の許可",1
2017,"同意 第52条容積率制限の許可",0
2017,"同意 第56条の２日影による高さ制限の許可",1
2017,"同意 第58条高度地区斜線制限の許可",0
2017,"同意 第59条の２総合設計の許可",0
2017,"同意 第68条の５再開発地区計画区域内の許可",0
2017,"同意 その他",1
2017,"審査請求 審査請求件数",1
2017,"審査請求 裁決件数",2
2017,"審査請求 取下げ件数",0
2017,"審査請求 審理中（年度末時点）",0

"平成30年度港区行政資料集　建築審査会処理状況","Ver201803",
