分類/品目/銘柄/単位,2003年10月,2004年8月,2004年9月,2004年10月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリ(5kg入り）/1袋(円),3155,3102,3063,2853,
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリを除く(5kg入り）/1袋(円),2620,2694,2668,2524,
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋(円),2132,2322,2272,2159,
（穀類）/うるち米/指定標準米、精米(5kg入り）/1袋(円),        -,        -,        -,        -,
（穀類）/もち米/国内産、精米、複数原料米(1～2kg入り）/1kg(円),732,927,923,888,16年7月改正
（穀類）/食パン/普通品/1kg(円),422,418,425,422,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g(円),85,85,84,84,
（穀類）/ゆでうどん/1食入り（200～250g入り）、普通品/1袋(円),76,79,77,79,
（穀類）/干しうどん/普通品/1kg(円),491,510,515,506,
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品、「マ・マースパゲッティ」又は「オーマイスパゲッティ」/1袋(円),159,159,158,157,16年1月改正
（穀類）/スパゲッティ/輸入品、袋入り（450g入り）、「ブイトーニ」/1袋(円),235,210,206,205,
（穀類）/即席めん/即席カップめん、中華タイプ、「カップヌードル(77g入り)」/1個(円),141,139,140,141,
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋(円),265,260,264,265,
（穀類）/小麦粉/薄力粉、袋入り（1kg入り）「日清フラワー」/1袋(円),191,190,187,186,
（穀類）/もち/包装生もち/1kg(円),1060,1035,1039,1010,
（魚介類）/まぐろ/めばち、切り身（刺身用）、赤身/100g(円),391,395,398,402,
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g(円),115,138,121,114,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g(円),139,107,110,107,
（魚介類）/かつお/切り身（刺身用）/100g(円),217,211,224,296,
（魚介類）/かれい/まがれい、丸（長さ約25～35cm）/100g(円),232,184,166,164,
（魚介類）/さけ/トラウトサーモン､ぎんざけ､アトランティックサーモン､べにざけ､又はキングサーモン､切り身/100g(円),223,206,215,203,16年1月改正
（魚介類）/さば/まさば、丸(長さ約25～40cm)/100g(円),139,115,109,110,
（魚介類）/さんま/丸（長さ約25cm以上）/100g(円),81,158,92,78,
（魚介類）/たい/まだい、丸（長さ約20cm以上）/100g(円),249,229,223,234,
（魚介類）/ぶり/切り身/100g(円),264,270,248,254,
（魚介類）/いか/するめいか/100g(円),66,77,74,78,
（魚介類）/たこ/まだこ（ゆでもの）/100g(円),256,258,255,256,
（魚介類）/えび/輸入品、冷凍（解凍含む）、パック包装[長さ]無頭8～10cm/100g(円),280,267,275,261,
（魚介類）/あさり/殻付き/100g(円),116,121,115,114,
（魚介類）/かき/まがき、むき身/100g(円),317,        -,        -,297,
（魚介類）/ほたて貝/養殖もの、むき身（ゆでもの）/100g(円),168,185,182,184,
（魚介類）/塩さけ/ぎんざけ、切り身/100g(円),187,183,184,187,
（魚介類）/たらこ/並/100g(円),649,667,666,662,
（魚介類）/しらす干し/並/100g(円),392,408,413,411,
（魚介類）/干しあじ/まあじ、開き、並/100g(円),178,169,165,170,
（魚介類）/丸干しいわし/まいわし（長さ約12cm）、並/100g(円),137,123,127,124,
（魚介類）/煮干し/かたくちいわし、小羽（約6cm）、上/100g(円),300,287,284,291,
（魚介類）/ししゃも/子持ちししゃも、パック入り（8～12匹入り）、並/100g(円),160,174,170,178,
（魚介類）/さつま揚げ/並/100g(円),100,98,97,99,
（魚介類）/ちくわ/焼ちくわ（冷凍ものを除く）、並/100g(円),102,104,102,103,
（魚介類）/かまぼこ/蒸かまぼこ、板付き、140g～160g、普通品/100g(円),151,150,151,153,
（魚介類）/かつお節/かつおぶし削りぶし、パック入り（3g×5袋入り）、普通品/1パック(円),136,136,135,136,
（魚介類）/塩辛/いかの塩辛、並/100g(円),253,262,258,263,
（魚介類）/魚みそ漬/さわら/100g(円),266,237,246,250,
（魚介類）/あさりつくだ煮/並/100g(円),348,355,346,336,
（魚介類）/まぐろ缶詰/油漬、きはだまぐろ、フレーク、内容量80g入り、｢シーチキンLフレーク」/1缶(円),156,155,158,158,16年1月改正
（肉類）/牛肉/ロース/100g(円),842,817,832,828,
（肉類）/牛肉/肩肉/100g(円),438,455,442,452,
（肉類）/牛肉/輸入品、チルド（冷蔵）、ロース（肩ロースは除く）/100g(円),344,375,368,367,
（肉類）/豚肉/ロース/100g(円),235,241,242,240,
（肉類）/豚肉/肩肉/100g(円),161,161,158,156,
（肉類）/鶏肉/ブロイラー、もも肉/100g(円),122,124,123,122,
（肉類）/羊肉/輸入品、ラム/100g(円),133,146,147,150,
（肉類）/レバー/豚レバー/100g(円),101,103,104,104,
（肉類）/ハム/ロースハム、JAS規格品・標準/100g(円),288,284,286,286,
