分類/品目/銘柄/単位,2003年11月,2004年9月,2004年10月,2004年11月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリ(5kg入り）/1袋(円),3360,3063,2853,2818,
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリを除く(5kg入り）/1袋(円),2903,2668,2524,2430,
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋(円),2165,2272,2159,2137,
（穀類）/うるち米/指定標準米、精米(5kg入り）/1袋(円),        -,        -,        -,        -,
（穀類）/もち米/国内産、精米、複数原料米(1～2kg入り）/1kg(円),874,923,888,859,16年7月改正
（穀類）/食パン/普通品/1kg(円),421,425,422,421,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g(円),83,84,84,85,
（穀類）/ゆでうどん/1食入り（200～250g入り）、普通品/1袋(円),77,77,79,78,
（穀類）/干しうどん/普通品/1kg(円),481,515,506,512,
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品、「マ・マースパゲッティ」又は「オーマイスパゲッティ」/1袋(円),152,158,157,154,16年1月改正
（穀類）/スパゲッティ/輸入品、袋入り（450g入り）、「ブイトーニ」/1袋(円),220,206,205,209,
（穀類）/即席めん/即席カップめん、中華タイプ、「カップヌードル(77g入り)」/1個(円),141,140,141,136,
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋(円),264,264,265,266,
（穀類）/小麦粉/薄力粉、袋入り（1kg入り）「日清フラワー」/1袋(円),189,187,186,186,
（穀類）/もち/包装生もち/1kg(円),1032,1039,1010,1025,
（魚介類）/まぐろ/めばち、切り身（刺身用）、赤身/100g(円),390,398,398,401,
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g(円),132,121,128,98,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g(円),134,110,109,108,
（魚介類）/かつお/切り身（刺身用）/100g(円),        -,224,298,        -,
（魚介類）/かれい/まがれい、丸（長さ約25～35cm）/100g(円),177,166,180,172,
（魚介類）/さけ/トラウトサーモン､ぎんざけ､アトランティックサーモン､べにざけ､又はキングサーモン､切り身/100g(円),218,215,203,198,16年1月改正
（魚介類）/さば/まさば、丸(長さ約25～40cm)/100g(円),146,109,112,99,
（魚介類）/さんま/丸（長さ約25cm以上）/100g(円),77,92,80,78,
（魚介類）/たい/まだい、丸（長さ約20cm以上）/100g(円),245,223,231,210,
（魚介類）/ぶり/切り身/100g(円),260,248,261,255,
（魚介類）/いか/するめいか/100g(円),70,74,77,77,
（魚介類）/たこ/まだこ（ゆでもの）/100g(円),256,255,256,252,
（魚介類）/えび/輸入品、冷凍（解凍含む）、パック包装[長さ]無頭8～10cm/100g(円),280,275,261,256,
（魚介類）/あさり/殻付き/100g(円),116,115,114,116,
（魚介類）/かき/まがき、むき身/100g(円),297,        -,305,318,
（魚介類）/ほたて貝/養殖もの、むき身（ゆでもの）/100g(円),170,182,184,186,
（魚介類）/塩さけ/ぎんざけ、切り身/100g(円),184,184,187,186,
（魚介類）/たらこ/並/100g(円),685,666,662,672,
（魚介類）/しらす干し/並/100g(円),400,413,411,429,
（魚介類）/干しあじ/まあじ、開き、並/100g(円),184,165,170,166,
（魚介類）/丸干しいわし/まいわし（長さ約12cm）、並/100g(円),133,127,124,128,
（魚介類）/煮干し/かたくちいわし、小羽（約6cm）、上/100g(円),301,284,291,290,
（魚介類）/ししゃも/子持ちししゃも、パック入り（8～12匹入り）、並/100g(円),173,170,178,184,
（魚介類）/さつま揚げ/並/100g(円),98,97,99,98,
（魚介類）/ちくわ/焼ちくわ（冷凍ものを除く）、並/100g(円),101,102,103,102,
（魚介類）/かまぼこ/蒸かまぼこ、板付き、140g～160g、普通品/100g(円),152,151,153,156,
（魚介類）/かつお節/かつおぶし削りぶし、パック入り（3g×5袋入り）、普通品/1パック(円),138,135,136,135,
（魚介類）/塩辛/いかの塩辛、並/100g(円),251,258,263,260,
（魚介類）/魚みそ漬/さわら/100g(円),253,246,250,236,
（魚介類）/あさりつくだ煮/並/100g(円),347,346,336,335,
（魚介類）/まぐろ缶詰/油漬、きはだまぐろ、フレーク、内容量80g入り、｢シーチキンLフレーク」/1缶(円),157,158,158,163,16年1月改正
（肉類）/牛肉/ロース/100g(円),829,832,828,823,
（肉類）/牛肉/肩肉/100g(円),443,442,452,453,
（肉類）/牛肉/輸入品、チルド（冷蔵）、ロース（肩ロースは除く）/100g(円),344,368,367,381,
（肉類）/豚肉/ロース/100g(円),237,242,240,241,
（肉類）/豚肉/肩肉/100g(円),160,158,156,155,
（肉類）/鶏肉/ブロイラー、もも肉/100g(円),126,123,122,125,
（肉類）/羊肉/輸入品、ラム/100g(円),137,147,150,152,
（肉類）/レバー/豚レバー/100g(円),100,104,104,104,
（肉類）/ハム/ロースハム、JAS規格品・標準/100g(円),286,286,286,287,
（肉類）/ソーセージ/ウインナーソーセージ、袋入り、JAS規格品・上級/100g(円),187,185,185,189,
（肉類）/ベーコン/ベーコン、JAS規格品・標準/100g(円),254,261,259,261,
（乳卵類）/牛乳/瓶入り（200ml）配達、瓶代を除く、月極め/1本(円),98,99,99,99,
（乳卵類）/牛乳/紙容器入り（1000ml入り）、店頭売り/1本(円),206,209,210,209,
（乳卵類）/粉ミルク/調整粉乳、缶入り（980g入り）「ソフトカード明治0コナミルクほほえみ」/1缶(円),2571,2577,2556,2582,
（乳卵類）/バター/カルトン入り（200g入り）/1箱(円),311,322,316,322,
（乳卵類）/チーズ/プロセスチーズ、スライスタイプ（10枚190g入り）/1袋(円),306,285,290,299,
（乳卵類）/チーズ/輸入品、ナチュラルチーズ缶入り（125g入り）「ジェラール」/1缶(円),489,483,483,470,
（乳卵類）/ヨーグルト/プレーンヨーグルト、500g入り､「明治0」、｢森永0」又は「MEGMILK0」/1個(円),211,224,222,221,16年1月改正
