"番号","所管部","所管課","支援名称","支援内容","対象者種別_個人_事業者_自治体","対象者詳細","最低支給額","最高支給額","制限・条件","受付時期","根拠法令","制度名","詳細URL","備考","GIS搭載用住所","経度","緯度","分類"
"1","区民部","保険医療課","均等割保険料の減額","世帯主及び加入者の所得額が基準以下の場合、保険料の均等割額が減額される。","個人","国民健康保険加入者","減額割合２割","減額割合７割","所得制限あり","申請不要","国民健康保険条例","均等割保険料の減額","","","中野区中野4-11-19","139.662904755454","35.7096225942072","支援制度_給付金_情報"
"2","区民部","保険医療課","非自発的失業者の保険料軽減","会社の倒産や解雇等により、特定受給資格者または特定理由離職者と認められた方の保険料を減額。","個人","国民健康保険加入者","前年度給与所得を70％減額した所得額で保険料計算。","同左","離職時65歳未満であること。","随時","国民健康保険条例","非自発的失業者の保険料軽減","","","中野区中野4-11-19","139.662904755454","35.7096225942072","支援制度_給付金_情報"
"3","区民部","保険医療課","厚生労働省の指定する特定疾病の一部負担金助成","高額な治療を継続して行う血友病等や人工透析が必要な慢性じん不全の方の診療にかかる一部負担金を減免。","個人","国民健康保険加入者","1か月10,000円まで
（一部は1か月20,000円まで）","同左","特定疾病療養受療証の発行手続が必要。
申請時、医師の同意書又は、前健康保険で公布された特定疾病療養受領証が必要。","随時","国民健康保険法","高額長期疾病（特定疾病）に係る高額療養費の特例","","","中野区中野4-11-19","139.662904755454","35.7096225942072","支援制度_給付金_情報"
"4","区民部","保険医療課","葬祭費の支給","国民健康保険加入者が死亡したとき、葬祭を行った方に支給。他の健康保険等から葬祭費に相当する給付金を受け取る場合は支給される方は国保からは支給されない。","個人","国民健康保険加入者の葬儀を行った者","70,000円","同左","葬儀日の翌日から2年を経過すると時効となり支給不可。","随時","国民健康保険条例","国民健康保険葬祭費の支給","","","中野区中野4-11-19","139.662904755454","35.7096225942072","支援制度_給付金_情報"
"5","区民部","保険医療課","出産育児一時金の支給","加入者が出産したとき出産時の世帯主に支給。（妊娠12週（85日）以上であれば、死産・流産でも支給可。）
他の健康保険等から支給される方は国保からは支給されない。","個人","国民健康保険加入者","令和５年３月末までに出生は、42万円
令和５年４月以降出生は、５０万円","同左","出産日の翌日から2年を経過すると時効となり支給不可。","随時","国民健康保険条例","国民健康保険出産育児一時金の支給","","","中野区中野4-11-19","139.662904755454","35.7096225942072","支援制度_給付金_情報"
"6","区民部","保険医療課","後期高齢者医療保険料均等割保険料の減額","同じ世帯の後期高齢者医療制度の被保険者全員と世帯主の総所得金額等を合計した額が基準以下の場合、保険料の均等割額が減額される。","個人","後期高齢者医療保険加入者","減額割合２割","減額割合７割","所得制限あり","申請不要","東京都後期高齢者医療広域連合後期高齢者医療に関する条例","後期高齢者医療保険料均等割保険料の減額","","","中野区中野4-11-19","139.662904755454","35.7096225942072","支援制度_給付金_情報"
"7","区民部","保険医療課","後期高齢者医療保険料所得等割保険料の減額","後期高齢者医療制度被保険者本人の賦課のもととなる所得金額が基準以下の場合所得割額が軽減される。","個人","後期高齢者医療保険加入者","25%","50%","所得制限あり","申請不要","東京都後期高齢者医療広域連合後期高齢者医療に関する条例","後期高齢者医療保険料所得等割保険料の減額","","","中野区中野4-11-19","139.662904755454","35.7096225942072","支援制度_給付金_情報"
"8","区民部","保険医療課","後期高齢者医療保険料　被扶養者の軽減","後期高齢者医療制度の対象となった日の前日まで会社の健康保険の被扶養者たった者の均等割額、所得割額が加入から2年間軽減される。","個人","後期高齢者医療保険加入者","均等割額5割
所得割額負担無し","同左","","申請不要","東京都後期高齢者医療広域連合後期高齢者医療に関する条例","後期高齢者医療保険料被扶養者の軽減","","","中野区中野4-11-19","139.662904755454","35.7096225942072","支援制度_給付金_情報"
"9","区民部","保険医療課","後期高齢者医療　特定疾病の一部負担金助成","高額な治療を継続して行う血友病等や人工透析が必要な慢性じん不全の方の診療にかかる一部負担金を減免。","個人","後期高齢者医療保険加入者","1か月10,000円まで","同左","特定疾病療養受療証の発行手続が必要。","随時","高齢者の医療の確保に関する法律施行規則","後期高齢者医療特定疾病の一部負担金助成","","","中野区中野4-11-19","139.662904755454","35.7096225942072","支援制度_給付金_情報"
"10","区民部","保険医療課","後期高齢者医療　葬祭費の支給","加入者が死亡したとき、葬祭を行った方に支給。","個人","葬儀を行った者","50,000円","同左","葬儀日の翌日から2年を経過すると時効となり支給不可。","随時","東京都後期高齢者医療広域連合後期高齢者医療に関する条例","後期高齢者医療葬祭費の支給","","","中野区中野4-11-19","139.662904755454","35.7096225942072","支援制度_給付金_情報"
