"ごみの品目","インデックス","種別","説明","GIS搭載用住所","経度","緯度","分類"
"アイスピック","あいすぴっく","陶器・ガラス・金属ごみ","危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何かわかるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"アイス枕","あいすまくら","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"アイロン","あいろん","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"アイロン台","あいろんだい","粗大ごみ","一辺が30㎝以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"アイロンプリント紙（捺染紙）","あいろんぷりんとし（なっせんし）","燃やすごみ","古紙再生の妨げとなるため集団回収（古紙回収）には出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"空き缶（飲食用以外のもの）","あきかん（いんしょくよういがいのもの）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"空き缶（飲食用）","あきかん（いんしょくよう）","びん・缶・ペットボトル","ペットフード缶含みます。水で軽くすすいで汚れを落としてからお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"空き箱","あきばこ","古紙（集団回収）","汚れやにおいが取れないものは燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"空きびん（飲食用以外のもの）","あきびん（いんしょくよういがいのもの）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"空きびん（飲食用）","あきびん（いんしょくよう）","びん・缶・ペットボトル","水で軽くすすいで汚れを落としてからお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"アクセサリー（金属製）","あくせさりー（きんぞくせい）","陶器・ガラス・金属ごみ","プラスチック製のものは燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"足ふきマット","あしふきまっと","粗大ごみ","一辺が30㎝以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"足踏みミシン","あしふみみしん","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"アタッシュケース（金属製）","あたっしゅけーす（きんぞくせい）","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"アタッシュケース（木製・プラスチック製）","あたっしゅけーす（もくせい・ぷらすちっくせい）","粗大ごみ","一辺が30㎝以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"圧着はがき","あっちゃくはがき","燃やすごみ","古紙再生の妨げとなるため古紙（集団回収）には出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"厚紙","あつがみ","古紙（集団回収）","汚れやにおいが取れないものは燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"圧力鍋","あつりょくなべ","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"油とり紙","あぶらとりかみ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"油（食用油以外）","あぶら（しょくようあぶらいがい）","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"油（食用の植物油）","あぶら（しょくようのしょくぶつあぶら）","食用油（拠点回収）","食用の植物油のみ拠点回収を行っています。拠点回収に出せない場合は、凝固剤で固めるか紙や布にしみこませて燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"編み機","あみき","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"網戸","あみど","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"アルバム","あるばむ","燃やすごみ","金属部分が外せる場合は、外して陶器・ガラス・金属ごみへ出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"アルミ缶（飲食用以外のもの）","あるみかん（いんしょくよういがいのもの）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"アルミ缶（飲食用）","あるみかん（いんしょくよう）","びん・缶・ペットボトル","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"アルミコーティング紙","あるみこーてぃんぐし","燃やすごみ","古紙再生の妨げとなるため古紙（集団回収）には出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"アルミホイル","あるみほいる","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
