項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
基準財政需要額（千円）,2895127,322720,1538168,970254,24752041,613701055
基準財政収入額（千円）,974735,44576,337004,225356,12032967,606119616
標準財政規模(a)（千円）,3320980,347026,1698633,1077688,29433144,857261944
財政力指数,0.351,0.137,0.217,0.234,0.492,0.99
財政力指数（単年度）,0.337,0.138,0.219,0.232,0.486,0.988
実質収支比率（％）,1,8.7,12.6,7.3,7.3,5.8
経常収支比率（％）,89,78.7,88.2,82.7,89.1,90.8
公債費比率（％）,11.5,2.8,7.3,1.6,5.8,1
公債費負担比率（％）,18.8,2.7,12.2,7,10.3,8.1
現債高倍率(b)/(a),2.794,0.959,1.574,1.165,1.411,1.001
地方債現在高(b)（千円）,9279600,332748,2673333,1255643,41521526,858368744
積立金現在高合計（千円）,2730211,827964,2413739,1104093,36532366,359661265
積立金現在高／財政調整基金（千円）,578170,668404,507807,551350,14125694,121673517
積立金現在高／減債基金（千円）,407692,95041,191355,230780,3185029,4444996
積立金現在高／その他特目基金（千円）,1744349,64519,1714577,321963,19221643,233542752
