項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
基準財政収入額（千円）,968399,42582,330080,222114,12111104,546049546
基準財政需要額（千円）,2728502,300198,1515636,949732,24585362,581515575
標準財政規模(a)（千円）,3158486,331091,1688816,1061587,29312719,812199312
財政力指数,0.347,0.138,0.22,0.231,0.487,0.941
財政力指数（単年度）,0.355,0.142,0.218,0.234,0.493,0.939
実質収支比率（％）,6.8,13.5,12.1,4.7,6.5,5.9
経常収支比率（％）,84,75.2,79.5,79.1,86.6,90.9
公債費比率（％）,11.8,3.5,7,1.6,5.7,1
公債費負担比率（％）,15.1,6.7,11.6,6.6,9.7,9.5
現債高倍率(b)/(a),2.624,1.087,1.646,0.887,1.404,1.094
地方債現在高(b)（千円）,8287271,359785,2780424,941197,41140563,888660419
積立金現在高合計（千円）,2705759,888686,2293496,1017940,35570027,319453180
積立金現在高／財政調整基金（千円）,572647,124202,498474,609050,13667014,112595873
積立金現在高／減債基金（千円）,437579,94888,191239,165680,3165333,4538125
積立金現在高／その他特目基金（千円）,1695533,669596,1603783,243210,18737680,202319182
