年,出生／件数,出生／率,死亡／件数,死亡／率,乳児死亡（再掲）／件数,乳児死亡（再掲）／率,死産／件数,死産／率,婚姻／件数,婚姻／率,離婚／件数,離婚／率
2001,108,7.4,178,12.2,-,-,3,27,84,5.8,36,2.5
2002,111,7.6,206,14.2,1,9,6,51.3,64,4.4,37,2.5
2003,114,7.9,204,14.2,-,-,3,25.6,82,5.7,34,2.3
2004,110,7.7,207,14.5,-,-,4,35.1,51,3.6,26,1.8
2005,115,7.8,186,12.6,1,8.7,8,65,54,3.7,31,2.1
2006,103,7,178,12.1,-,-,2,19,67,4.6,21,1.4
2007,107,7.7,186,13.3,-,-,3,27.3,48,3.4,16,1.1
2008,101,7.3,196,14.1,-,-,2,19.4,50,3.6,26,1.9
2009,92,6.5,208,14.7,1,11,1,10.8,53,3.8,22,1.6
2010,81,5.8,212,15.1,-,-,-,-,57,4.1,21,1.5
2011,101,7.3,224,16.1,-,-,3,28.8,66,4.8,24,1.7
2012,88,6.4,242,17.7,-,-,3,33,66,4.8,24,1.7
2013,117,8.6,221,16.2,-,-,-,-,57,4.2,23,1.7
2014,57,4.2,178,13.2,2,34,-,-,48,3.6,16,1.2
2015,83,6.2,212,16,-,-,1,12,54,4,21,1.5
2016,77,5.9,208,16.1,-,-,1,48.2,35,2.7,29,2.2
