項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
議会費（千円）,83213,21834,55215,41895,965656,11972205
議会費構成比（％）,0.8,2,1.2,1.5,1.4,0.8
総務費（千円）,1627587,230713,731051,491007,12456462,185402048
総務費構成比（％）,15.7,21.5,16.3,17.9,17.8,11.8
民生費（千円）,1601305,145181,604204,496732,15913766,729925184
民生費構成比（％）,15.5,13.5,13.4,18.1,22.8,46.6
衛生費（千円）,1171963,130604,262056,519070,8027310,128499307
衛生費構成比（％）,11.3,12.2,5.8,18.9,11.5,8.2
労働費（千円）,102257,28615,58576,65168,780817,6824743
労働費構成比（％）,1,2.7,1.3,2.4,1.1,0.4
農林水産業費（千円）,388485,188337,353834,221174,3726315,7049612
農林水産業費構成比（％）,3.8,17.5,7.9,8.1,5.3,0.4
商工費（千円）,992156,130798,268783,187621,3321314,15069458
商工費構成比（％）,9.6,12.2,6,6.8,4.8,1
土木費（千円）,1366413,38699,529643,275847,8514236,152924916
土木費構成比（％）,13.2,3.6,11.8,10,12.2,9.8
消防費（千円）,609721,67223,84476,71726,4056918,58748716
消防費構成比（％）,5.9,6.3,1.9,2.6,5.8,3.7
教育費（千円）,708783,52091,1272268,285307,6787547,181726322
教育費構成比（％）,6.8,4.9,28.3,10.4,9.7,11.6
災害復旧費（千円）,1029200,0,0,0,1096797,1502571
災害復旧費構成比（％）,9.9,0,0,0,1.6,0.1
公債費（千円）,656998,39228,277027,91930,4046627,87419775
公債費構成比（％）,6.3,3.7,6.2,3.3,5.8,5.6
諸支出金（千円）,17497,0,0,0,118141,597849
諸支出金構成比（％）,0.2,0,0,0,0.2,0
合計（千円）,10355578,1073323,4497133,2747477,69811906,1567662706
合計構成比（％）,100,100,100,100,100,100
