区分,大島町,利島村,新島村,神津島村
1.事業創設年月日,S４９．７,Ｓ３５．１０,S４５．７,Ｓ３２．８
2.施設事業概要／(1)行政区域内現在人口(a)（人）,7716,299,2722,1898
2.施設事業概要／(2)計画給水人口(b)（人）,10650,350,2830,2150
2.施設事業概要／(3)現在給水人口(c)（人）,7705,299,2684,1894
2.施設事業概要／(4)普及率(c/a×100)(%),0.999,1,0.986,0.998
2.施設事業概要／(5)配水能力(m3/日),8200,300,2780,2500
2.施設事業概要／(6)年間総配水量(d)(m3),1207524,50429,370258,430325
2.施設事業概要／(7)一日最大配水量(e)(m3),6619,171,2575,1642
2.施設事業概要／(8)一人一日最大配水量(ﾘｯﾄﾙ),884,572,970,814
2.施設事業概要／(9)一人一日平均給水量(ﾘｯﾄﾙ),441,142,378,637
2.施設事業概要／(10)年間総有収水量(f)(m3),1002003,34199,344414,274451
2.施設事業概要／(11)有収率f/d×100(%),0.83,0.955,0.93,0.637
2.施設事業概要／(12)家庭用10トンあたり使用料金（2017.1.1現在）（円）,1690,2100,900,1080
3.職員数（人）,6,2,2,2
