配布／年度,2013年度実績,2013年度実績,2013年度実績,2014年度実績,2014年度実績,2014年度実績,2015年度実績,2015年度実績,2015年度実績,2016年度実績,2016年度実績,2016年度実績
配布／対象種,アワビ（千個）,トコブシ（千個）,サザエ（千個）,アワビ（千個）,トコブシ（千個）,サザエ（千個）,アワビ（千個）,トコブシ（千個）,サザエ（千個）,アワビ（千個）,トコブシ（千個）,サザエ（千個）
配布／単価（円）,22,17.8,7.1,22,17.8,7.1,22,17.8,7.1,22,17.8,7.1
伊豆大島,75,0,200.4,75,0,200.4,75,0,200.4,50,55,140
元町漁協,32,0,42,32,0,42,32,0,42,10,40,10
大島町,0,0,0,0,0,450,0,0,450,0,0,450
大島地区計,107,0,242.4,107,0,692.4,107,0,692.4,60,95,600
利島村漁協,50,0,10,50,0,10,27,0,90,27,0,90
新島村,30,0,165,30,0,165,30,0,165,30,30,89.7
にいじま漁協,0,0,60,0,0,60,0,0,60,0,0,60
新島地区計,30,0,225,30,0,225,30,0,225,30,30,149.7
神津島漁協,60.4,0,62,60.4,0,62,77.8,0,82,49,45,62.5
合計,247.4,0,539.4,247.4,0,989.4,241.8,0,1089.4,166,170,902.2
