町村,障害部位,1級,2級,3級,4級,5級,6級,計,新規件数
総数,視覚,6,8,3,7,3,4,31,4
総数,聴覚,5,8,2,20,0,19,54,5
総数,言語,0,1,2,0,0,0,3,0
総数,肢体不自由,38,60,61,106,21,14,300,14
総数,内部障害,128,1,8,6,0,0,143,8
総数,膀胱直腸,0,1,1,18,0,0,20,6
総数,計,177,79,77,157,24,37,551,37
大島町,視覚,3,4,1,2,3,2,15,2
大島町,聴覚,3,3,2,6,0,11,25,5
大島町,言語,0,1,1,0,0,0,2,0
大島町,肢体不自由,15,30,30,58,13,5,151,8
大島町,内部障害,85,0,3,4,0,0,92,4
大島町,膀胱直腸,0,0,1,15,0,0,16,6
大島町,計,106,38,38,85,16,18,301,25
利島村,視覚,0,1,0,1,0,0,2,0
利島村,聴覚,0,0,0,1,0,1,2,0
利島村,言語,0,0,0,0,0,0,0,0
利島村,肢体不自由,0,1,2,4,1,0,8,0
利島村,内部障害,1,0,0,0,0,0,1,0
利島村,膀胱直腸,0,0,0,0,0,0,0,0
利島村,計,1,2,2,6,1,1,13,0
新島村,視覚,3,1,2,3,0,1,10,1
新島村,聴覚,0,2,0,9,0,3,14,0
新島村,言語,0,0,1,0,0,0,1,0
新島村,肢体不自由,12,17,25,31,6,5,96,6
新島村,内部障害,29,0,2,2,0,0,33,4
新島村,膀胱直腸,0,1,0,1,0,0,2,0
新島村,計,44,21,30,46,6,9,156,11
神津島村,視覚,0,2,0,1,0,1,4,1
神津島村,聴覚,2,3,0,4,0,4,13,0
神津島村,言語,0,0,0,0,0,0,0,0
神津島村,肢体不自由,11,12,4,13,1,4,45,0
神津島村,内部障害,13,1,3,0,0,0,17,0
神津島村,膀胱直腸,0,0,0,2,0,0,2,0
神津島村,計,26,18,7,20,1,9,81,1
