項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
歳入総額(a)（千円）,10663210,1141156,4701302,2797016,72223233,1624112618
歳出総額(b)（千円）,10355578,1073323,4497133,2747477,69811906,1567662706
(c)歳入歳出差引（千円）(a)－(b),307632,67833,204169,49539,2411327,56449912
翌年度へ繰越すべき財源(d)（千円）,92325,0,0,0,494026,6288688
(e)実質収支（千円）(c)－(d),215307,67833,204169,49539,1917301,50161224
単年度収支(f)（千円）,83793,23041,59626,2979,377042,7904045
積立金(g)（千円）,147,54,90165,24250,1033373,18737198
繰上償還金(h)（千円）,0,0,0,0,0,472964
積立金取崩し額(i)（千円）,0,0,142000,24000,779978,14589802
実質単年度収支(j)（千円）(f)+(g)+(h)-(i),83940,23095,7791,3229,630437,12524405
標準財政規模(k)（千円）,3158486,348505,1688816,1061587,29312719,848393437
実質収支比率(l)（％）,6.8,19.5,12.1,4.7,6.5,5.9
