税目,調定額／税額（ａ）（円）,調定額／件数（ｂ）,収入額／税額（ｃ）（円）,収入額／件数（ｄ）,収入歩合／税額c/a（％）,収入歩合／件数d/b（％）,構成比／(調定額)（％）
都民税(法人）,23774900,523,23774900,523,100,100,3.8
事業税／個人,10333200,157,10333200,157,100,100,1.7
事業税／法人,93654400,154,93654400,154,100,100,15.1
不動産取得税,15456300,234,15390900,233,99.6,99.6,2.5
ゴルフ場利用税,1052400,12,1052400,12,100,100,0.2
自動車税,5798400,156,5601300,151,96.6,96.8,0.9
狩猟税,139700,18,139700,18,100,100,0
軽油引取税,21632121,25,21632121,25,100,100,3.5
小計,171841421,1279,171578921,1273,99.8,99.5,27.8
滞納繰越分（個人都民税を除く）,1026473,23,124600,7,12.1,30.4,0.2
計,172867894,1302,171703521,1280,99.3,98.3,28
都民税（個人）／現年課税分,426359506,13633,421050069,12769,98.8,93.7,69
都民税（個人）／滞納繰越分,19062137,2919,5420624,510,28.4,17.5,3.1
合計,618289537,17854,598174214,14559,96.7,81.5,100
