税目,調定額／税額（ａ）（円）,調定額／件数（ｂ）,収入額／税額（ｃ）（円）,収入額／件数（ｄ）,収入歩合／税額c/a（％）,収入歩合／件数d/b（％）,構成比／(調定額)（％）
都民税(法人）,14139900,545,14139900,545,100.0 ,100.0 ,2.6 
事業税／個人,11763300,170,11740300,169,99.8 ,99.4 ,2.1 
事業税／法人,42793700,172,42793700,172,100.0 ,100.0 ,7.8 
不動産取得税,5473300,99,5473300,99,100.0 ,100.0 ,1.0 
ゴルフ場利用税,992000,12,992000,12,100.0 ,100.0 ,0.2 
自動車税,3899600,109,3751600,105,96.2 ,96.3 ,0.7 
狩猟税,125700,19,125700,19,100.0 ,100.0 ,0.0 
軽油引取税,20117746,30,20117746,30,100.0 ,100.0 ,3.7 
小計,99305246,1156,99134246,1151,99.8 ,99.6 ,18.1 
滞納繰越分（個人都民税を除く）,1111273,21,105000,2,9.4 ,9.5 ,0.2 
計,100416519,1177,99239246,1153,98.8 ,98.0 ,18.3 
都民税（個人）／現年課税分,433149080,15435,418581109,13632,96.6 ,88.3 ,78.9 
都民税（個人）／滞納繰越分,15282529,3164,3444441,339,22.5 ,10.7 ,2.8 
合計,548848128,19776,521264796,15124,95.0 ,76.5 ,100.0 
