項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
歳入総額(a)（千円）,10171548,1248726,3890694,3083391,71430550,1632104181
歳出総額(b)（千円）,10141633,1233921,3699094,3016378,69203327,1584526724
(c)歳入歳出差引（千円）(a)－(b),29925,14805,191600,67013,2227223,47577457
翌年度へ繰越すべき財源(d)（千円）,0,0,1581,0,339757,5039537
(e)実質収支（千円）(c)－(d),29915,14805,190019,67013,1887466,42537920
単年度収支(f)（千円）,-185392,-53028,-14150,17474,-29835,-7623304
積立金(g)（千円）,2925,2298,110150,25250,1030684,19371352
繰上償還金(h)（千円）,0,0,0,0,0,228167
積立金取崩し額(i)（千円）,0,30000,0,83200,1196684,21347617
実質単年度収支(j)（千円）(f)+(g)+(h)-(i),-182467,-80730,96000,-40476,-195835,-9371402
標準財政規模(k)（千円）,3214677,352170,1727910,1071383,29722354,858865604
実質収支比率(l)（％）,0.9,4.2,11.0,6.3,6.4,5.0
