町村,障害部位,1級,2級,3級,4級,5級,6級,計,新規件数
総数,視覚,6,7,4,5,7,4,33,2
総数,聴覚,3,8,0,22,0,25,58,2
総数,言語,0,0,4,0,0,0,4,0
総数,肢体不自由,29,54,65,111,21,22,302,8
総数,内部障害,129,1,10,9,0,0,149,14
総数,膀胱直腸,0,0,1,25,0,0,26,2
総数,計,167,70,84,172,28,51,572,28
大島町,視覚,4,3,2,2,5,2,18,1
大島町,聴覚,1,2,0,7,0,13,23,1
大島町,言語,0,0,2,0,0,0,2,0
大島町,肢体不自由,15,24,32,55,14,6,146,2
大島町,内部障害,89,0,5,5,0,0,99,12
大島町,膀胱直腸,0,0,1,21,0,0,22,2
大島町,計,109,29,42,90,19,21,310,18
利島村,視覚,0,1,0,0,0,0,1,0
利島村,聴覚,0,0,0,2,0,0,2,0
利島村,言語,0,0,0,0,0,0,0,0
利島村,肢体不自由,0,0,0,3,1,0,4,0
利島村,内部障害,2,0,0,0,0,0,2,1
利島村,膀胱直腸,0,0,0,0,0,0,0,0
利島村,計,2,1,0,5,1,0,9,1
新島村,視覚,2,1,2,3,2,1,11,1
新島村,聴覚,0,3,0,9,0,7,19,1
新島村,言語,0,0,2,0,0,0,2,0
新島村,肢体不自由,6,19,31,41,5,12,114,6
新島村,内部障害,26,0,2,4,0,0,32,1
新島村,膀胱直腸,0,0,0,2,0,0,2,0
新島村,計,34,23,37,59,7,20,180,9
神津島村,視覚,0,2,0,0,0,1,3,0
神津島村,聴覚,2,3,0,4,0,5,14,0
神津島村,言語,0,0,0,0,0,0,0,0
神津島村,肢体不自由,8,11,2,12,1,4,38,0
神津島村,内部障害,12,1,3,0,0,0,16,0
神津島村,膀胱直腸,0,0,0,2,0,0,2,0
神津島村,計,22,17,5,18,1,10,73,0
